"","T Cells","NK","Macrophages","B Cells","Endothelial Cells","Cancer Cells","Fibroblasts"
"TCGA.24.1104.01A",0,0.00102271282851834,0.102877643480078,0,0.257565687058311,0.606384747373636,0.0321492092594562
"TCGA.25.1320.01A",0,0,0.0404733359689298,0,0.215142485983026,0.24093094376376,0.503453234284284
"TCGA.24.1850.01A",0,0,0.12149228841878,0,0.060271756224467,0.547017632445337,0.271218322911416
"TCGA.61.2101.01A",0,0,0,0,0.137470801045357,0.523503356674412,0.339025842280232
"TCGA.23.1111.01A",0,0,0,0,0.291909091644583,0.596807136400278,0.111283771955139
"TCGA.25.2396.01A",0,0,0.0491483454574939,0,0.29704303858858,0.55878629196454,0.0950223239893861
"TCGA.30.1714.01A",0,0,0,0.0011004828834302,0.064375404576734,0.934524112539836,0
"TCGA.04.1347.01A",0,0,0,0,0.0271822798638779,0.972817720136122,0
"TCGA.59.2351.01A",0,0,0.0852701325899195,0,0.354990883825173,0.531395886688738,0.02834309689617
"TCGA.09.1659.01B",0,0,0.0374980309110589,0,0.153478806529449,0.666899509919201,0.142123652640291
"TCGA.24.1431.01A",0,0,0.0151776384388652,0.0225847407813152,0.0535361735682529,0.88961029118059,0.0190911560309766
"TCGA.31.1951.01A",0,0,0.0790348846308973,0,0.406443586583435,0.217161001627166,0.297360527158502
"TCGA.29.1769.01A",0,0,0.0656318006997553,0,0.146129924306809,0.613083223818282,0.175155051175154
"TCGA.13.0916.01A",0,0,0.0612188518542457,0,0.397397013319393,0.541384134826362,0
"TCGA.61.1721.01A",0,0,0,0.105488787268172,0.398529906540634,0.0573873544636206,0.438593951727573
"TCGA.20.1687.01A",0,0,0.0580587927638582,0,0.216152667454988,0.58863660024192,0.137151939539234
"TCGA.29.2414.01A",0,0,0,0,0.160359269513641,0.493407742405648,0.34623298808071
"TCGA.13.1411.01A",0,0,0.181903195854543,0,0.210520075298933,0.326445034219206,0.281131694627317
