"","T Cells","DC","Macrophages","Cancer Cells","B Cells","Mast Cells","Endothelial Cells","Fibroblasts"
"TCGA.4T.AA8H.01A",0.00715125466403676,0,0.00397929611761143,0.415159371046151,0,0,0.525499428299483,0.0482106498727181
"TCGA.AA.A00Q.01A",0,0.00063790388268251,0.0332748129342046,0.334639651493162,0,0.000327087864697847,0.422552083995347,0.208568459829906
"TCGA.AZ.4614.01A",0.0552721131003032,0.0565374523222408,0.0140682553770029,0.426146342219884,0,0,0.376696645844186,0.0712791911363829
"TCGA.A6.2675.01A",0,0,0.0925724388235257,0.0251323797002262,0,0.000641699456158383,0.297504598319532,0.584148883700558
"TCGA.AA.A00U.01A",0.0051999934974874,0,0.0223707922700308,0.371914473392152,0,0,0.413665251714415,0.186849489125915
"TCGA.A6.6781.01A",0,0,0.0365905149808632,0,0,6.72592044377253e-06,0.284325174255059,0.679077584843634
"TCGA.CM.6169.01A",0.00247161729775801,0.0127092417574609,0.120771485595951,0.00830605910061588,0,0.000650429459156961,0.410514286348322,0.444576880440735
"TCGA.AA.3516.01A",0,0.0315671467530009,0.0714447049592539,0.280733497771689,0,0.00019651125460399,0.357582622360316,0.258475516901136
"TCGA.AA.3552.01A",0,0.0018242726916636,0.139459639364433,0.188603622098989,0,0.00080399873368531,0.442852946510169,0.22645552060106
"TCGA.D5.6931.01A",0,0,0.0774733803265792,0.127810811954541,0,0.00122004660620198,0.400315758694102,0.393180002418575
"TCGA.SS.A7HO.01A",0.0192948009943108,0.0294236447311979,0.000201971170784201,0.302094492326095,0,0,0.534957987456701,0.114027103320911
"TCGA.AZ.6605.01A",0,0,0.0536332010552892,0.00544973650327974,0,0,0.244000691443842,0.696916370997589
"TCGA.CA.6717.01A",0,0.00242853366294918,0.108985165932621,0.0529177232076803,0,0.00121827509668292,0.376232597598448,0.458217704501619
"TCGA.NH.A8F7.01A",0.0376827578326896,0.0563369364805461,0,0.334370240344976,0,0,0.465298450222938,0.10631161511885
"TCGA.AD.6965.01A",0,0.00295332009253765,0.013125990731144,0.25946161570969,0,0.000198142987854394,0.508957761464959,0.215303169013815
"TCGA.AA.A02H.01A",0.0343824746222847,0.0187770511437029,0.014700191944073,0.237955319296094,0,0,0.449900558136822,0.244284404857023
"TCGA.AA.A022.01A",0.107527516284486,0.129540931855115,0.0834859846704004,0.145344651750429,0.00151904360093867,0.000279300239282859,0.324496643074542,0.207805928524805
"TCGA.AA.3680.01A",0,0,0.0806476669462153,0.196293102379059,0,0.000356266459551299,0.528062194242251,0.194640769972924
"TCGA.A6.6650.01A",0,0,0.00814734048570447,0.385632489253924,0,0,0.517326078250065,0.0888940920103057
"TCGA.G4.6311.01A",0,0,0.0425506064783452,0.107489601687571,0,0.000541097852079517,0.379154040636633,0.470264653345371
"TCGA.A6.2677.01B",0,0,0.0008119780080258,0.00245590223987512,0,0,0.631673065531069,0.36505905422103
"TCGA.AA.3815.01A",0.107871374728745,0.0042840869042741,0.144413195677542,0.19393490198583,0,0.000239676693821168,0.330904380005889,0.218352384003899
"TCGA.CK.4951.01A",0,0,0.062101085415867,0.135961437156973,0,0.000464697554767145,0.314473965460347,0.486998814412046
"TCGA.CK.6748.01A",0,0,0.0326869512437073,0.0579326045171381,0,2.56005604635659e-05,0.298314836312219,0.611040007366472
"TCGA.CA.5255.01A",0,0,0.0298586236585728,0.437881875030799,0,0.000253299233904256,0.398596391076361,0.133409811000363
"TCGA.CK.4952.01A",0.0142079830582459,2.47047048432211e-05,0.0142411080238176,0.38805336780192,0,6.39250229992729e-05,0.447240060196715,0.13616885119146
"TCGA.AZ.4315.01A",0,0.00100538937865827,0.0649940215067493,0.443037956961818,0,0,0.303942157812537,0.187020474340237
"TCGA.AA.3869.01A",0,0,0.108744342700357,0.218038722463485,0,0.000119390298867517,0.458566945397327,0.214530599139964
"TCGA.G4.6626.01A",0.0123706337256045,0.0342213609296687,0.00525418680941687,0.415038878432452,0,0.00051929397387661,0.389564820343678,0.143030825785303
"TCGA.DM.A1D7.01A",0,0,0.0343090145625769,0.420493717176778,0,0,0.406428609877359,0.138768658383286
"TCGA.AA.3531.01A",0.046972060599138,0.0549965769013788,0.0183624128891054,0.385416686856614,0.00119956323173885,0,0.340069336784489,0.152983362737536
"TCGA.A6.5662.01A",0,0,0.00785767341421793,0.19770053878519,0,3.97931521386105e-05,0.471389358155034,0.323012636493419
"TCGA.CM.4744.01A",0.0402187576087305,0.0797642592872093,0.0498460323805962,0.520345892631035,0.0816626205989818,3.71213863923734e-05,0.190900274778171,0.0372250413288832
"TCGA.D5.5540.01A",0.000332962955781322,0,0,0.362110193667003,0.41753573380526,0,0.148449085276028,0.0715720242959282
"TCGA.AZ.6608.01A",0.0312072815978844,0.0011080697879063,0.0113910842402919,0.538565921303845,0,0,0.390031671594412,0.027695971475661
