"","T Cells","DC","Macrophages","Cancer Cells","B Cells","Mast Cells","Endothelial Cells","Fibroblasts"
"TCGA.BP.4766.01A",0,0,0.0398835410476061,0,0,6.03772969898079e-06,0.788189161769641,0.171921259453054
"TCGA.A3.3352.01A",0.00119911452852911,0.001082855997134,0.0735724664167118,0,0,0.000157770939540376,0.819241804270734,0.104745987847351
"TCGA.G6.A8L7.01A",0,0,0.0790386873859291,0.0426673605535086,0,0,0.519165125694068,0.359128826366495
"TCGA.A3.A6NN.01A",0.00188635762719504,0.000151669551025695,0.0310486013908228,0,0,0.000440612905415981,0.731576168742377,0.234896589783163
"TCGA.T7.A92I.01A",0,0,0.074003612134739,0,0,0,0.60267409907065,0.323322288794611
"TCGA.B0.5713.01A",0,0,0.0241236723628352,0,0,0,0.846675147144732,0.129201180492433
"TCGA.CZ.4860.01A",0.0225303532537717,0,0.0646220794790234,0.0187480388205021,0.37712727784934,0,0.21157529319287,0.305396957404492
"TCGA.A3.3351.01A",0.000764099787000665,0,0.139003495013696,0,0,0.000563575941308911,0.629964473159837,0.229704356098157
"TCGA.B8.4148.01A",0.00487579444413776,0,0.0881652858221713,0,0,0.000352330874650332,0.786657921491081,0.11994866736796
"TCGA.BP.4345.01A",0,0,0.0509034280144099,0,0,0,0.398566269814243,0.550530302171347
"TCGA.BP.5010.01A",0,0,0.0057148309086212,0,0,0,0.469727031134544,0.524558137956835
"TCGA.BP.4325.01A",0.00468140753936352,0,0.0715321784178585,0,0,0.00013882451500347,0.74740846394481,0.176239125582964
"TCGA.B0.5102.01A",0.0032674526197811,0,0.0908421366289718,0,0.000521257019698371,1.00161914843416e-06,0.710706865680206,0.194661286432194
"TCGA.BP.5185.01A",0.0412774511540449,0.0155595504830835,0.0948216620848931,0.00780497086794248,0.000756314673734605,0.000566167867741695,0.659325108701194,0.179888774167366
"TCGA.CZ.5986.01A",0.00344911402615882,0.0001565798882263,0.0387714912180629,0,0,0.000533229377252196,0.804162489697259,0.15292709579304
