"","T Cells","DC","Macrophages","Cancer Cells","B Cells","Mast Cells","Endothelial Cells","Fibroblasts"
"TCGA.TQ.A7RO.01A",0,0,0,0.000378228869747277,0,0,0.787657090353468,0.211964680776785
"TCGA.CS.6670.01A",0,0,0.0183493974072439,0.00284545164927691,0,0,0.768266855737934,0.210538295205545
"TCGA.QH.A6X5.01A",0,0,0.0302097880717724,0.000115195911044361,0,0,0.750323828128985,0.219351187888198
"TCGA.HW.7493.01A",0,0,0.0504404096379555,0.00109842801126713,0,0,0.699475311164532,0.248985851186246
"TCGA.CS.6667.01A",0.00524093119264689,0.0150047131896428,0.0211055318649863,0.000195499808580853,0,0,0.829975048006987,0.128478275937156
"TCGA.DU.6406.01A",0,0,0.03335070118758,0,0,0,0.704706709535005,0.261942589277415
"TCGA.DU.A7TA.01A",0,0.00581451393972935,0.0762976610952208,0.00407090524822084,0,0,0.746099295738666,0.167717623978163
"TCGA.QH.A6X4.01A",0,0,0.0371700003695721,0.0424973521574857,0,0,0.710373725399123,0.209958922073819
"TCGA.TQ.A7RR.01A",0,0.0390471535224266,0.070635987133297,0.000218702392214542,0,0,0.763879273616909,0.126218883335153
"TCGA.HT.8104.01A",0,0,0.0339075226613926,0,0,0,0.597605615975593,0.368486861363015
"TCGA.HT.A74K.01A",0,0.0089463466410939,0.0880657545413225,0.0355796000552499,0,0.00057376495373035,0.684664160196692,0.182170373611911
"TCGA.DB.A64X.01A",0.0326913644944773,0.0382479928133728,0.0221579895767234,0.0442442258508042,0,0,0.679662502406292,0.18299592485833
"TCGA.HT.8107.01A",0.00110299423359931,0,0.0318844256376116,0,0.00296153134231911,0,0.802201581325611,0.161849467460859
"TCGA.FG.A710.01A",0,0,0.155565628617175,0.000637453864147385,0,0,0.663091535425331,0.180705382093347
"TCGA.QH.A6CX.01A",0,0,0.0824990970682073,0,0,0,0.439312606725854,0.478188296205938
"TCGA.CS.6666.01A",0,0.0014857881744692,0.0262661740356437,0.00272425585520815,0,0,0.830334975535903,0.139188806398776
"TCGA.TM.A7CA.01A",0,0.00406345768256169,0.0492516198090707,0.0173417656493813,0.00455630570406695,0,0.810672237019767,0.114114614135152
