"","Cancer Cells","Double-neg-like T","NK","Macrophages","CD8 T","Fibroblasts","Monocytes","B Cells","CD4 T","DC","Mast Cells","Neutrophils","Endothelial Cells"
"TCGA.HQ.A5NE.01A",0.0571258471289739,0,0.000130550639947017,0,0,0.175852731978524,0,0,0.00209297394155533,0,3.02376691377834e-05,0.597767689311686,0.166999969330176
"TCGA.FD.A5BT.01A",0.0055326627448004,0,0,0.21920204529831,0,0.681820584176458,0.00894398217908528,0.0200201092192753,0,0,0,8.36889464070865e-05,0.0643969274356638
"TCGA.DK.A3IQ.01A",0.0104806037919841,0,0,0,0,0.457875974594186,0,0,0,0,0,0.415294121889506,0.116349299724323
"TCGA.ZF.AA4X.01A",0.223302622421191,0,0,0,0,0.000141409736167282,0,0,0,0,0,0.601347537166709,0.175208430675934
"TCGA.GD.A3OQ.01A",0.104375084785117,0,4.96711750641681e-05,0,0,0.201394207270666,0,0.000465443460587875,0,0,0.000168684447421916,0.557056306501847,0.136490602359296
"TCGA.ZF.AA51.01A",0.184032359815887,0.000830156179132154,0.00103245983331752,0,0.00407870957238627,0.0561301323324886,0.00598681163881287,0.0428222833707466,0.000765636441149927,0.00682774468062129,0.00103893723421878,0.541355917671101,0.155098851230138
"TCGA.FD.A3SS.01A",0.20434348601596,0,0,0,0,0.0622431363311444,0,0,0,0,0,0.553377422280567,0.180035955372329
"TCGA.DK.AA71.01A",0.28140410198769,0,0,0,0,0.140148686257571,0,0.0160601412549828,0.0492367986911644,0,0,0.416956803007458,0.0961934688011345
"TCGA.4Z.AA83.01A",0.116483614363912,0,0.00129720795439136,0,0,0.0806839338592552,0,0,0.000230933333075629,0,0,0.650047062108943,0.151257248380423
"TCGA.ZF.A9R4.01A",0.188844646894324,0,0.0589197617053239,0,0,0.0196585587223222,0,0.0618940334173861,0.00323567659571433,0,0,0.537432757710452,0.130014564954477
"TCGA.BT.A20P.01A",0.219114027431542,0,0,0,0,0.0664721802698296,0,0.00694101769346205,0.000499094422004754,0,1.11553782056307e-05,0.600632756342564,0.106329768462392
