"","Cancer Cells","Double-neg-like T","NK","Macrophages","CD8 T","Fibroblasts","Monocytes","B Cells","CD4 T","DC","Mast Cells","Neutrophils","Endothelial Cells"
"TCGA.C5.A7UI.01A",0.241268090265418,0,0,0,0.118239195998765,0.226058886141815,0,0.0657591746479448,0.0391273796013826,0.0871947081413083,0,0.142992002560089,0.0793605626432771
"TCGA.C5.A902.01A",0.180814944840613,0,0.0366940442296401,0,0.0766284238339363,0.0517203831355707,0,0.000414581250152852,0.00312851695559328,0.0253458222208909,0.000279872915540682,0.508393521180585,0.116579889437477
"TCGA.DS.A1OB.01A",0.22131391254228,0,0,0,0,0.0578872946545244,0,0,0,0,0,0.599329379484613,0.121469413318582
"TCGA.Q1.A6DW.01A",0.14919795045193,0,0,0,0,0.0512194432409547,0,0,0.00263507683009254,0,0.000207738497159282,0.60706485992164,0.189674931058223
"TCGA.EK.A2R7.01A",0.214521409793157,0,0.00393631143966483,0,0,0.0643376898875809,0,0,0.00134243532946358,0,0,0.594563914558048,0.121298238992086
"TCGA.C5.A7X8.01A",0.14767873306235,0,0.000505846681854128,0,0,0.227297033366776,0,0,0,0,0,0.442329066703454,0.182189320185567
"TCGA.Q1.A5R3.01A",0.18760550981425,0,0,0,0.160592861175664,0.296456098372848,0.00515681429277674,0.0993421578617025,0.072398202518217,0.0823263469373746,0.00532964318699915,0.00145316977783081,0.089339196062338
"TCGA.C5.A7X5.01A",0.180464140401556,0,0,0,0,0.130683130245892,0,0,0.00099950552494486,0.000345862945851313,0,0.539531911190487,0.147975449691269
"TCGA.ZJ.A8QR.01A",0.112738639546089,0,0.00130735299008974,0,0,0.0345081883700969,0,0,0,0,0,0.650002518055402,0.201443301038322
"TCGA.HM.A3JK.01A",0.0825769969327302,0,0,0,0.00223721570417716,0.331032458269344,0,0,0,0.0087455713313478,0,0.481805219856174,0.0936025379062265
"TCGA.EA.A556.01A",0.211173644963226,0,0,0,0,0.135308482945195,0,0,0,0,0,0.491187059770619,0.16233081232096
"TCGA.VS.A9V4.01A",0.244804607335373,0,0.000382559386694353,0,0,0.0700576712719903,0,0.0285372773949047,0.00114496037249279,0,0.000149091001840912,0.50573248305817,0.149191350178534
"TCGA.IR.A3L7.01A",0.264071275657154,0,0.000528623051682705,0,0,0.0386713049975003,0,0,0,0,0.000178794561577687,0.504215904646672,0.192334097085413
"TCGA.EK.A2RL.01A",0.206071798285708,0,0.000172968509666258,0,0,0.0808858075819491,0,0,0.000733540460571939,0,0,0.552290803710652,0.159845081451453
"TCGA.VS.A94X.01A",0.115187967248976,0,0,0,0,0.0530388783637203,0,0,0,0,0,0.69501015555089,0.136762998836414
"TCGA.VS.A9V3.01A",0.0687804814887121,0,0.00434010901463049,0,0.000651596434907656,0.054476034108248,0.000716036604847711,0,0.00276596417115657,0,0,0.738541068846533,0.129728709330964
"TCGA.EK.A2RO.01A",0.148735355827669,0,0,0,0,0.196329248485887,0,0,0,0,0,0.549052527565839,0.105882868120606
"TCGA.JW.A5VJ.01A",0.209360641490637,0,0.000879121595500662,0,0,0.065004925701042,0,0,0.000952358036538321,4.62139263709272e-05,0,0.614940000069418,0.108816739180494
"TCGA.MA.AA42.01A",0.119915727144271,0,0.0160898349105085,0.029162287972553,0.0158544718191716,0.0468390681976409,0,0,0.00669423871742285,0,0,0.691179543064721,0.0742648281737115
"TCGA.C5.A1MK.01A",0.0834686067875524,0,0.000676022764772497,0,0,0.149002057671247,0,0,0.00168179877425882,0,1.95402705082799e-05,0.659072275286341,0.106079698445321
"TCGA.UC.A7PG.01A",0.143901219169932,0,0.00201238534124149,0,0,0.0882814950934215,0,0,0.00193816394289872,9.77772178483151e-05,0.000522340883984816,0.629252296363684,0.133994321986989
"TCGA.VS.A9UH.01A",0.0420795374383842,0,0.00137142081947641,0,0.00106761582101823,0.159198735776296,0,0,0.000349469004126426,0,0,0.70493834238616,0.0909948787545395
"TCGA.4J.AA1J.01A",0.101020337057822,0,0.00148587483941732,0,0,0.167795523391797,0,0,0.00128780616707044,0,0,0.544203420843144,0.184207037700748
"TCGA.C5.A1ME.01A",0.239872726148977,0,0,0,0.0154253584161757,0.203749147094334,0.0119323969635165,0.114678102516786,0.088727383537947,0.0585542836066954,0.0048355026173242,0.169261709970037,0.0929633891282069
"TCGA.C5.A8YR.01A",0.120041047010837,0,0,0,0,0.0800910796164476,0,0,0,0,0,0.668299826752864,0.131568046619852
"TCGA.EA.A5FO.01A",0.214710887842134,0,0,0,0,0.0318973329182254,0,0,0,0,0,0.634428721716787,0.118963057522853
"TCGA.MA.AA3Z.01A",0.111529923978304,0,0.00848504910476228,0,0,0.0137429529546521,0,0,0.000595956107645226,0,5.125532198142e-05,0.721703336370919,0.143891526161736
"TCGA.C5.A8XJ.01A",0.096597277093276,0,0.00158293945312576,0,0,0.0776920452891673,0,0,0.000438940641187213,0,9.14940813548104e-05,0.656587472678427,0.167009830763462
"TCGA.R2.A69V.01A",0.0618269098574845,0,0.0159894156459193,0.0597596707556105,0.074929785805562,0.10505662088582,0.0482001682826085,0,0.0340534816939613,0.0379357879632606,3.639569002091e-05,0.471793358672313,0.0904184047474386
"TCGA.C5.A1BM.01A",0.0570992376166386,0,0.00110610396405405,0,0.000683293658700913,0.0272208103512942,0,0,0.000406445232092336,0,0,0.80534881127684,0.10813529790038
"TCGA.ZJ.AAXD.01A",0.174075515046041,0,0.00114718608814697,0,0,0.0859652520106849,0,0,0,0,0.00028200926455127,0.575372273605714,0.163157763984862
"TCGA.HM.A4S6.01A",0.0855070560428458,0,0.00291374821990798,0,0,0.0894969313392144,0,0,0,0,1.73634406408845e-05,0.700477881320746,0.121587019636645
"TCGA.EA.A5ZF.01A",0.122923723146487,0,0,0,0,0.116984234800362,0,0,0,0,0,0.645596187419285,0.114495854633867
"TCGA.C5.A1M6.01A",0.214285802864071,0,0,0,0,0.0600519307763886,0,0,0,0,4.92568305852062e-05,0.582567269360943,0.143045740168012
"TCGA.DG.A2KK.01A",0.164293627103097,0,0.00092229632805072,0,0.000612669866457022,0.0764666001670876,0,0,0.00108909131436923,0,0,0.645146359007316,0.111469356213622
"TCGA.HG.A2PA.01A",0.0648737828757232,0,0.000951329308394649,0,0,0.0477386273619759,0,0,0.000969327931447815,0,0,0.754862436170802,0.130604496351657
