"","Cancer Cells","Double-neg-like T","NK","Macrophages","CD8 T","Fibroblasts","Monocytes","B Cells","CD4 T","DC","Mast Cells","Neutrophils","Endothelial Cells"
"TCGA.4T.AA8H.01A",0.274584420744085,0,0.000257155436658227,0,0,0.0202372442860341,0,0,0,0,0,0.494274230444639,0.210646949088584
"TCGA.AA.A00Q.01A",0.224818649310225,0,0,0,0,0.0761184732437036,0,0.00150526076704956,0,0,0,0.517618738608628,0.179938878070394
"TCGA.AZ.4614.01A",0.425465640315245,0,0,0,0.056123603478619,0.0968417198627774,0,0.0740476071768639,0.04918457129096,0.00191425468030361,0,0.17565246644422,0.12077013675101
"TCGA.A6.2675.01A",0.0524704567846113,0,0.000850491169248714,0,0,0.134913487370731,0,0,0.000895216452434054,0,0,0.654150946284304,0.156719401938671
"TCGA.AA.A00U.01A",0.237196226918352,0.000336592929182342,0.000613178638795716,0,0,0.0797328378873096,0,0.0293054042794385,0.00100837779405932,0,6.71118881041483e-07,0.501720921822937,0.150085788611045
"TCGA.A6.6781.01A",0.000482429856635661,0,0.00051502683753978,0,0,0.177924805384894,0,0.00130062842703323,0,0,0,0.706554541876661,0.113222567617236
"TCGA.CM.6169.01A",0.0364154262914124,0,0.00637747925529786,0,0,0.1322866380399,0,0.00352577661640246,0.0019208032887548,0,5.3801814677169e-05,0.673466598689686,0.14595347600387
"TCGA.AA.3516.01A",0.185308560129221,0,0,0,0,0.127343826896047,0,0.0279819383531681,0.00505041650583801,0.0209060271751397,0,0.462739494216602,0.170669736723985
"TCGA.AA.3552.01A",0.14489769595637,0,0.00249557116381484,0,0,0.0886570726112722,0,0.0364763683322102,0.000983320289644212,0,5.41055340382417e-05,0.561856671090212,0.164579195022439
"TCGA.D5.6931.01A",0.0871583761150314,0,0,0,0.000934421777662399,0.139437429670023,0,0,0.00145647342131811,8.56350871368894e-05,0,0.639852317906608,0.13107534602222
"TCGA.SS.A7HO.01A",0.244654820350731,0,0,0,0,0.0612208149082184,0,0.00365818361335977,0,0,0,0.496117056701545,0.194349124426146
"TCGA.AZ.6605.01A",0.0597067368424029,0,0.00119350115994126,0,0,0.194386798400793,0,0,0.0010502931297451,0,0,0.578348329501383,0.165314340965734
"TCGA.CA.6717.01A",0.0923024593385833,0,0.00118090623669727,0,0,0.170500153763595,0,0,0.000688811339676239,0,0,0.604371334006407,0.130956335315041
"TCGA.NH.A8F7.01A",0.26568690334381,0,0.00873380961878313,0,0,0.0253492941370528,0,0,0,0,0,0.500950562568383,0.199279430331972
"TCGA.AD.6965.01A",0.166621114951493,0,0.00692537270184134,0,0.000153083208378756,0.178132708757577,0,0.00437184685157429,0,0,0,0.499882681235804,0.143913192293332
"TCGA.AA.A02H.01A",0.206027031494853,0,0.00125968863715635,0,0,0.109913194796951,0,0.0364506223325369,0.000281097463490099,0,1.74998380002697e-05,0.4621222298961,0.183928635540913
"TCGA.AA.A022.01A",0.144834313285885,0,0.0559640883407773,0,0,0.139400170711214,0,0.037369833894467,0.0168799047186439,0.0686761744303004,0,0.385001893851616,0.151873620767097
"TCGA.AA.3680.01A",0.191145828796334,0,0.00137227911618856,0,0,0.02266654943665,0,0,0.000960012724151847,0,0.000369878065290769,0.573114313046489,0.210371138814896
"TCGA.A6.6650.01A",0.124730152656741,0,0,0,0,0.0820296074464288,0,0,0,0,0,0.624059841106636,0.169180398790194
"TCGA.G4.6311.01A",0.0842711073827009,0,0.000123288106594904,0,0,0.142069523815928,0,0.000322628851135408,0.000958972050950408,0,0.000264820210152966,0.641071879163423,0.130917780419115
"TCGA.A6.2677.01B",0.0426600017082752,0,0,0,0,0.017795255594632,0,0,0,0,0,0.765761362397771,0.173783380299322
"TCGA.AA.3815.01A",0.157758670080532,0,0.0154191229210799,0,0.000882344710874516,0.0916973320982164,0,0.0296261519212553,0.00157540383112146,0.0108798288328872,3.80906596554992e-05,0.557603309875797,0.13451974506858
"TCGA.CK.4951.01A",0.159341559949614,0,0.00153572673713036,0,0,0.139915968170726,0,0.000797854652490685,3.25658771069256e-05,0,0,0.519440920391053,0.178935404221879
"TCGA.CK.6748.01A",0.0760719401636995,0,0,0,0,0.249106034701722,0,0.0173200057588917,0,0,0,0.515126612333574,0.142375407042113
"TCGA.CA.5255.01A",0.275830248753841,0,0.000223176797833199,0,0,0.0343986615688898,0,0.0240627999559609,0.00613504858303912,0,0.000460432485442382,0.460084117179907,0.198805514675086
"TCGA.CK.4952.01A",0.292760954210227,0.00245897828695428,0,0,0,0.108505194201407,0,0.0293374865818769,0.000854173917707325,0,0.000137925870538503,0.442384733620911,0.123560553310378
"TCGA.AZ.4315.01A",0.361756360338637,0,0,0.000313988639559615,0,0.269153133894338,0.00480833983879282,0.0171572970223172,0,0.0544153854063142,0,0.175831329635005,0.116564165225036
"TCGA.AA.3869.01A",0.160922082008145,0,0,0,0,0.0701773217382263,0,0.00796482452093788,0,0,0,0.609619850139511,0.15131592159318
"TCGA.G4.6626.01A",0.301459562887645,0,0,0,0,0.0691514029163962,0,0.0265804940613975,0,0,0,0.475565907286621,0.12724263284794
"TCGA.DM.A1D7.01A",0.303821652627545,0,8.60830855830032e-06,0,0,0.0915601700340603,0,0.00769518897356717,0,0,0,0.431568843991722,0.165345536064547
"TCGA.AA.3531.01A",0.278655433698304,0,0,0,0,0.175864591612592,0,0.125764101894391,0,0.00200165468126627,0,0.253330956903119,0.164383261210328
"TCGA.A6.5662.01A",0.144800668874323,0,0,0,0,0.203574272950421,0,0.0182790902000705,0,0,0,0.475064578270522,0.158281389704663
"TCGA.CM.4744.01A",0.261659898268,0,0,0,0.059384068900952,0.138156127142799,0,0.206573180493273,0.134046361771759,0.141102341859144,0,0,0.0590780215640732
