"","Cancer Cells","Double-neg-like T","NK","Macrophages","CD8 T","Fibroblasts","Monocytes","B Cells","CD4 T","DC","Mast Cells","Neutrophils","Endothelial Cells"
"TCGA.EL.A3D0.01A",0.228221823037039,0,0,0,0,0.107198180214996,0,0,0,0,0,0.414025118494511,0.250554878253454
"TCGA.J8.A4HY.01A",0.218536641241712,0,0,0,0,0.0450289181508396,0,0,0,0,0,0.528437832782361,0.207996607825087
"TCGA.L6.A4ET.01A",0.227326340705108,0,0,0,0,0.090134635227853,0,0,0,0,0,0.499398635935323,0.183140388131716
"TCGA.DE.A4MC.01A",0.0923684744215402,0,0.000835769668596501,0,0,0.108194543831079,0,0,0,0,0,0.625592829662521,0.173008382416263
"TCGA.ET.A25K.01A",0.0744475429780823,0,0,0,0,0.13944431051844,0,0,0,0,0,0.528329270763669,0.257778875739808
"TCGA.DJ.A3UU.01A",0.101119892292745,0,0.00124534491344385,0,0,0.111194442290791,0,0,0.000434583031140344,0,0,0.638483350701937,0.147522386769944
"TCGA.EM.A1YA.01A",0.239192988470632,0,0,0,0,0.0390010279963294,0,0,0,0,0,0.495116548692084,0.226689434840954
"TCGA.CE.A483.01A",0.16036425758467,0,0.000770910311114977,0,0,0.0224024521381966,0,0,0,0,0,0.58984768986973,0.226614690096289
"TCGA.DJ.A3VD.01A",0.0325574390262171,0,0.00111155558482247,0,0,0.128890148720559,0,0,0,0,0,0.71234540001054,0.125095456657862
"TCGA.BJ.A28S.01A",0.148034433991264,0,0,0,0,0.04354436641246,0,0,0,0,0,0.535989181471296,0.27243201812498
"TCGA.FY.A3R9.01A",0.246356962925476,0,0,0,0,0.00568190137887322,0,0,0,0,0,0.501244625880944,0.246716509814707
"TCGA.FY.A3R8.01A",0.0962250132823502,0,0.000620189502814468,0,0,0.10322921576221,0,0,0,0,0,0.63741411655391,0.162511464898715
"TCGA.DJ.A3V2.01A",0.123917670895,0,0.0040559549997048,0,0,0.0830080099953217,0,0,0.00129072105216189,0,1.42862965111605e-05,0.658755355680392,0.128958001080909
"TCGA.ET.A25L.01A",0.0857460408472095,0,0,0,0,0.189844833651734,0,0,0,0,0,0.550302545767429,0.174106579733628
"TCGA.EL.A3D1.01A",0.201874709907912,0,0,0.040517961225687,0,0.22248176451869,0,0.0239178966718772,0,0,0.000665191298280909,0.337031194515739,0.173511281861813
"TCGA.FY.A3I4.01A",0.107495813904283,0,0.000174569773177346,0,0,0.168333316959573,0,0,0,0,8.3861461427675e-06,0.541549017950147,0.182438895266678
"TCGA.DJ.A3UV.01A",0.0833468412483668,0,0.00140559319550289,0,0,0.128645427404654,0,0,0.00063103544765866,0,0,0.575989015125126,0.209982087578692
"TCGA.BJ.A28T.01A",0.0735649060930422,0,0.0254827921322065,0,0,0.0465385315989667,0,0,0,0,0,0.681771296825584,0.1726424733502
"TCGA.EM.A3FQ.01A",0.0888212706248425,0,0.000606908081228101,0,0,0.111258031904359,0,0,0.000994266073378772,0,0,0.653976882433461,0.144342640882731
"TCGA.J8.A4HW.01A",0.200953811427934,0,0,0,0,0.134052509147799,0,0,0,0,0,0.449805619276857,0.21518806014741
"TCGA.MK.A4N6.01A",0.0499309495155617,0,7.54746559850642e-05,0,0,0.146381022087297,0,0,0,0,0,0.643145710396139,0.160466843345018
"TCGA.DJ.A3V8.01A",0.167269574138892,0,0,0,0,0.0777961721169438,0,0.000131186635931694,0,0,0,0.558327665140074,0.196475401968159
"TCGA.DJ.A1QI.01A",0.0871384732700995,0,0,0,0,0.0971149517699025,0,0,0,0,0,0.647463387806342,0.168283187153656
"TCGA.EL.A3H8.01A",0.0960511098119456,0,0,0,0,0.104799946014561,0,0,0,0,0,0.602125779180318,0.197023164993176
"TCGA.EM.A3O3.01A",0.137689163282267,0,0.0215953881597737,0,0,0.160467927641125,0,0.014658697182214,0.00160346740230491,0,7.07070231556069e-05,0.58530492667624,0.0786097226329194
"TCGA.IM.A3U3.01A",0.145956081971139,0,0.00146346462029415,0,0,0.116344313319162,0,0,0.000606953500196358,0,0,0.557694866057566,0.177934320531642
"TCGA.BJ.A191.01A",0.177361031421074,0,0.0102195598916491,0,2.33320437676612e-05,0.0724474635170554,0,0.0103313354475106,0.000870645517407084,0,0,0.555903124453863,0.172843507707672
"TCGA.E8.A3X7.01A",0.227819157217182,0,0.00151475014210153,0,0,0.152614601539415,0,0.043156926669467,0.0011426322478228,0.000531574487775957,0.000198876254960177,0.364592021723758,0.208429459717517
"TCGA.FY.A3YR.01A",0.147601820185669,0,0.000620967775109318,0,0,0.0870711811558177,0,0,0,0,0,0.559452657914986,0.205253372968418
"TCGA.KS.A41I.01A",0.178722680419234,0,0,0,0,0.0948937568812658,0,0,0,0.0111547857970704,0,0.5302931250348,0.18493565186763
"TCGA.EL.A3CS.01A",0.137361037027896,0,0,0,0,0.0815558548741832,0,0.00515532926017067,0,0,0,0.588260549241175,0.187667229596575
"TCGA.EL.A3GU.01A",0.086796412960294,0,0,0,0,0.171889862832913,0,0,0,0,0,0.55651504294281,0.184798681263983
"TCGA.EM.A1CU.01A",0.10855828231663,0,0.000427846267416524,0,0,0.111280304207032,0,0,0,0,0,0.595800038678011,0.18393352853091
"TCGA.H2.A26U.01A",0.0345763836224943,0,0.00163504619329587,0,0,0.131928053438624,0,0,0,0,0,0.711056199507391,0.120804317238194
"TCGA.DJ.A2PT.01A",0.100100648316213,0,0,0.00778817785932956,0,0.173155193049234,0.000139516750890726,0,0,0.00900585337850615,0,0.587553649382457,0.122256961263369
"TCGA.DJ.A3V6.01A",0.135681510905731,0,0.000625310603812058,0,0,0.142337723235151,0,0,0,0,0,0.542498864623314,0.178856590631992
"TCGA.DJ.A2Q7.01A",0.127859413286981,0,0.000829701260401723,0,0,0.0946046674610271,0,0,0.000643160830512241,0,0,0.570752459297372,0.205310597863706
"TCGA.ET.A3BV.01A",0.0348404985542053,0,0,0,0,0.300238792157661,0,0,0,0,0,0.556163149463373,0.10875755982476
"TCGA.EL.A3ZL.01A",0.151742203377625,0,0,0,0,0.108765368625724,0,0,0,0,0,0.479481919004521,0.26001050899213
"TCGA.CE.A13K.01A",0.154428710916866,0,0,0,0,0.0584960711254727,0,0,0,0,1.64565687562113e-05,0.515636871649258,0.271421889739647
"TCGA.DJ.A3UQ.01A",0.0711774596776809,0,0.00056547156465543,0,0,0.179975254676068,0,0,0,0,0,0.56255698752192,0.185724826559676
"TCGA.BJ.A45H.01A",0.137325907013121,0,0.000996056589272724,0,0,0.0872758147147172,0,0,0.000779097854433906,0,0.000110546806210755,0.597255609315327,0.176256967706917
"TCGA.L6.A4EU.01A",0.174103937310107,0,0.000854791930007334,0,0,0.142309957830744,0,3.67293110560923e-05,0,0,0,0.51201770672269,0.170676876895395
"TCGA.DJ.A3VM.01A",0.180629624742677,0,0,0,0,0.0260033036814199,0,0,0,0,0,0.553879933776619,0.239487137799284
