"","Cancer Cells","B Cells","T Cells","Myeloid cells","Mast Cells","Fibroblasts","Endothelial Cells"
"TCGA.HQ.A5NE.01A",0.258721209155127,0,0,0,0,0.252167218006715,0.489111572838157
"TCGA.FD.A5BT.01A",0,0,0,0.0925846329340067,0,0.781325305684098,0.126090061381896
"TCGA.DK.A3IQ.01A",0,0,0,0,0,0.967523646435966,0.0324763535640337
"TCGA.ZF.AA4X.01A",0.917197783557851,0,0,0,0,0,0.0828022164421486
"TCGA.GD.A3OQ.01A",0.227744084951514,0,0,0,0,0.265914280765008,0.506341634283478
"TCGA.ZF.AA51.01A",0.43168214060993,9.39526986843745e-05,0,0.0215984563415946,0,0.242157344583049,0.304468105766742
"TCGA.FD.A3SS.01A",0.603906972333602,0,0,0.0024330901408609,0,0.177409051589693,0.216250885935844
"TCGA.DK.AA71.01A",0.328833251807007,0.00149978455297014,0,0,0,0.228400252185136,0.441266711454887
"TCGA.4Z.AA83.01A",0.581616085446755,0,0,0,0,0.0718218629890139,0.346562051564231
"TCGA.ZF.A9R4.01A",0.425874967902148,0,0,0,0,0.00679755807090776,0.567327474026944
"TCGA.BT.A20P.01A",0.535286437451284,0,0,0.0074865715482725,0,0.108161016586761,0.349065974413682
"TCGA.HQ.A2OE.01A",0.37788933319491,0.00370937137734392,0,0,0,0.0463799230974283,0.572021372330318
"TCGA.R3.A69X.01A",0.191043810470634,0,0,0.0834881190835777,9.18309014558056e-05,0.34240684354396,0.382969396000372
"TCGA.BT.A3PH.01A",0.46433863295414,0,0,0.0014473737404585,0,0.199348598492063,0.334865394813338
"TCGA.UY.A9PA.01A",0.306399946641442,0,0,0,0,0.0136749126630043,0.679925140695553
"TCGA.BL.A13J.01B",0.056492454107308,0,0,0,0,0.551333627487919,0.392173918404773
"TCGA.CF.A3MI.01A",0.915706670602331,0,0,0,0,0.00590385868269338,0.0783894707149752
"TCGA.XF.AAMW.01A",0.16260492489608,0,0.000897695141499008,0,0,0.191501759683419,0.644995620279003
"TCGA.H4.A2HQ.01A",0.255622830903182,0,0,0,0,0.050851432701714,0.693525736395104
"TCGA.HQ.A5ND.01A",0.416789031005177,0,0,0,0,0.0270636501194829,0.55614731887534
"TCGA.K4.A6FZ.01A",0.209268791909435,0.00150035476287209,0.00327069470930534,0.00551019904488161,0,0.0415752861714775,0.738874673402028
"TCGA.DK.A3IV.01A",0.195382620765928,0.00040549565184467,0.00407989555514632,0.0203914859192245,0,0.02405969670162,0.755680805406237
"TCGA.E7.A3X6.01A",0.280703257287441,0,0.00341046080697959,0.00288295971995985,0,0.0583890322956731,0.654614289889947
"TCGA.BT.A42F.01A",0.422410894553393,0,0,0.0351853243642999,0,0.120598366004856,0.421805415077452
"TCGA.UY.A8OB.01A",0.153564665280627,0,0.00488573144485631,0.00119345032802903,0,0.0539984644827339,0.786357688463754
"TCGA.DK.A1A3.01A",0.275133201074891,0,0,0.0546843361749157,0,0.401270834359711,0.268911628390483
"TCGA.DK.AA6X.01A",0.451554838892116,0,0,0,0,0.111747312720243,0.436697848387641
"TCGA.G2.A3IE.01A",0.905565441004762,0,0,0,0,0.0212004933982385,0.0732340655969993
"TCGA.FD.A5BU.01A",0.034192960381535,0,0,0.0816008493234696,0,0.505613122925074,0.378593067369922
"TCGA.C4.A0EZ.01A",0.141480561030395,0,0,0,0,0.222379349457621,0.636140089511985
"TCGA.FD.A3B3.01A",0.0403217366953835,0.000185795241602108,0.00368659901188926,0.0424167707503284,0.000536192021698038,0.404378050880701,0.508474855398398
"TCGA.FD.A5BZ.01A",0.0474338897776983,0,0,0,0,0.829031404349555,0.123534705872746
"TCGA.C4.A0F7.01A",0.472119899697628,0,0,0,0,0.163811607194088,0.364068493108284
"TCGA.XF.AAMR.01A",0.0984134628254429,0,0,0.0234467109351234,0.00201829822042741,0.490948993054302,0.385172534964705
"TCGA.XF.AAN7.01A",0,0,0,0,0,0.603740742340249,0.396259257659751
"TCGA.UY.A8OD.01A",0.516809930490539,0,0,0.0103103730610786,0,0.342292943615762,0.130586752832621
"TCGA.FD.A3SP.01A",0.0242444075524654,0,0,0.0341500493870948,0.00011721783316428,0.670682850898978,0.270805474328297
"TCGA.DK.A2HX.01A",0.0786280055013361,0,0,0,0,0.648762844589801,0.272609149908863
"TCGA.CF.A8HX.01A",0.944794677216478,0,0,0,0,0.0176033909851274,0.0376019317983943
"TCGA.E7.A85H.01A",0.775665916329186,0,0,0,0,0.131010149548045,0.093323934122769
"TCGA.ZF.A9RL.01A",0.858077676968893,0,0,0,0,0,0.141922323031107
"TCGA.UY.A9PB.01A",0.0140535607595622,0,0,0.0676294997948658,0,0.481686925329787,0.436630014115785
"TCGA.GV.A3JV.01A",0.282975587029734,0,0,0.00192415402008252,0,0.277897921047312,0.437202337902872
"TCGA.GD.A6C6.01A",0.256674084123083,0.141810656503717,0,0,0,0.134927540599655,0.466587718773545
"TCGA.XF.A9SW.01A",0.116429096330733,0,0,0.000506581022273698,0.000282059654005009,0.604981336752088,0.2778009262409
