"","Cancer Cells","B Cells","T Cells","Myeloid cells","Mast Cells","Fibroblasts","Endothelial Cells"
"TCGA.4T.AA8H.01A",0.95380212700455,0,0,0,0,0.0016574691912977,0.0445404038041527
"TCGA.AA.A00Q.01A",0.850521666072879,0,0,0,0,0.0485987764599662,0.100879557467155
"TCGA.AZ.4614.01A",0.482684481734185,0,0,0,0,0.0939883397446915,0.423327178521124
"TCGA.A6.2675.01A",0.219844109751877,0.000991045453930247,0,0.0155374051527545,0,0.387601980334608,0.376025459306831
"TCGA.AA.A00U.01A",0.649068238690039,0,0,0,0,0.0750487021291538,0.275883059180808
"TCGA.A6.6781.01A",0,0,0,0.00448835623164059,0,0.771181753784344,0.224329889984016
"TCGA.CM.6169.01A",0.20906262061561,0,0,0.00923441216251264,0,0.329537639510585,0.452165327711292
"TCGA.AA.3516.01A",0.347733054860646,0,0.00463294917640223,0.0116312689260424,0,0.0632364125161506,0.572766314520759
"TCGA.AA.3552.01A",0.748551206399211,0,0,0.00532845997801897,0,0.0619097464220994,0.184210587200671
"TCGA.D5.6931.01A",0.185918379552492,0.00267718044418722,0,0.00179318242776077,0,0.308128815503365,0.501482442072195
"TCGA.SS.A7HO.01A",0.314261374952842,0,0,0.00158671739076829,0,0.240788547931583,0.443363359724807
"TCGA.AZ.6605.01A",0.196782321990558,0.00050127517656104,0,0.0061981467218119,0,0.433052923484762,0.363465332626307
"TCGA.CA.6717.01A",0.0880150325743381,0,0,0.0161446505604933,0.000276006270636192,0.407716624076087,0.487847686518446
"TCGA.NH.A8F7.01A",0.905941182832761,0,0,0,0,0.0212514720676445,0.0728073450995942
"TCGA.AD.6965.01A",0.0343057610981727,0.00039001359976207,0.0020817335741033,0.00049396884124533,0,0.34088786517382,0.621840657712897
"TCGA.AA.A02H.01A",0.703674826193475,0,0,0,0,0.095346605384425,0.2009785684221
"TCGA.AA.A022.01A",0.356473299700639,0.00184089829118441,0,0.0232787117027054,0,0.10018001668866,0.518227073616812
"TCGA.AA.3680.01A",0.513628419849061,0.000845340832650911,0.00100258005461076,0,0,0.0981931872725267,0.38633047199115
"TCGA.A6.6650.01A",0.123731646273995,0,0,0.00244195411289321,0,0.125724698825393,0.748101700787719
"TCGA.G4.6311.01A",0.430846182651289,0,0,0.00335079011443882,0,0.423250284716122,0.142552742518151
"TCGA.A6.2677.01B",0.142741709203882,0,0,0,0,0.310685046255871,0.546573244540247
