"","Cancer Cells","B Cells","T Cells","Myeloid cells","Mast Cells","Fibroblasts","Endothelial Cells"
"TCGA.32.2616.01A",0.0335461971619098,0,0,0.0575506078094018,0,0.157415173112076,0.751488021916612
"TCGA.32.1980.01A",0.0137473252029157,0,0,0.128558616965903,0,0.168169006310273,0.689525051520908
"TCGA.28.2514.01A",0,0,0,0.00532394329262526,0,0.156665067109985,0.838010989597389
"TCGA.06.0644.01A",0,0,0,0.05179280148674,0,0.489720667911206,0.458486530602054
"TCGA.06.1804.01A",0.039155003157848,0,0,0.014835068809138,0,0.166091101525006,0.779918826508008
"TCGA.41.2571.01A",0.0650451517176237,0,0,0.0618723339570266,0,0.275640851175941,0.597441663149409
"TCGA.19.2619.01A",6.3144895801428e-05,0,0,0,0,0.280880883507331,0.719055971596867
"TCGA.27.1837.01A",0.0265597637953457,0,0,0.0277621638623407,0,0.122796017176061,0.822882055166253
"TCGA.27.1832.01A",0.0246664004752541,0.000431979258036686,0,0.0926465398564591,0,0.330105024060576,0.552150056349674
"TCGA.06.0686.01A",0.0244904900031269,0,0,0.0356229536604286,0,0.241347218470047,0.698539337866397
"TCGA.06.5856.01A",0,0,0,0.0495602649272312,0,0.265131971213983,0.685307763858785
"TCGA.28.1753.01A",0,0,0,0.206551526685747,0,0.351170134029891,0.442278339284362
"TCGA.28.5218.01A",0,0,0,0.00971746483940836,0,0.852144423332761,0.138138111827831
"TCGA.32.1970.01A",0.0111238796709993,0,0,0.0120586518829369,0,0.169365145718204,0.80745232272786
"TCGA.28.5204.01A",0,0,0.00215189709076399,0.011702211890713,0,0.11895121484877,0.867194676169753
"TCGA.12.3653.01A",0,0,0,0.0124953575802414,0,0.0329524630637762,0.954552179355982
"TCGA.06.0187.01A",0,0,0,0.0322752872775836,0,0.149421351001789,0.818303361720627
"TCGA.19.2624.01A",0.0154437687434883,0,0,0.00507390044724043,0,0.20247463483783,0.777007695971441
"TCGA.12.3652.01A",0,0,0,0.0109888872702379,0,0.363606836645816,0.625404276083947
"TCGA.12.5299.01A",0,0,0,0.0635496797870336,0,0.255983980362033,0.680466339850934
"TCGA.06.0749.01A",0.0803045293455838,0,0,0.142116100180677,0,0.177484911050383,0.600094459423356
"TCGA.06.0158.01A",0,0,0,0.0466515504101078,0,0.197846604850356,0.755501844739537
"TCGA.19.1390.01A",0.0167960327251355,0,0,0.0158575902663796,0,0.172303666175217,0.795042710833267
"TCGA.28.2510.01A",0.0248278500071296,0,0,0.0152275419005211,0,0.313309219151022,0.646635388941327
"TCGA.32.2615.01A",0.0232486957375716,0,0,0.039628926891004,0,0.28112460521841,0.655997772153014
"TCGA.76.4929.01A",0.0440496133240675,0,0,0.0684059593544227,0,0.285963972764806,0.601580454556704
"TCGA.06.0178.01A",0.103892924075643,0.106126667766334,0,0.0896229429553865,0,0.222865309549261,0.477492155653376
"TCGA.41.5651.01A",0.00761932787494339,0,0,0,0,0.233822038938128,0.758558633186929
"TCGA.14.2554.01A",0.00689299956137169,0,0,0.0583753822007889,0,0.283161474716363,0.651570143521476
"TCGA.06.2559.01A",0.00687462822898716,0,0,0.0208810895630924,0,0.286533283863965,0.685710998343956
"TCGA.14.0787.01A",0.0393230956735892,0,0,0.0760893211694164,0,0.206126576807724,0.67846100634927
"TCGA.12.0618.01A",0.0398313932691726,0,0,0.0143622419593479,0,0.221963108442703,0.723843256328777
"TCGA.14.1034.01A",0,0,0,0.0615918467791658,0,0.19289721686889,0.745510936351944
"TCGA.06.0743.01A",0.0377892690528091,0,0,0.0359581875735241,0,0.179504907775841,0.746747635597826
"TCGA.16.1045.01B",0,0,0,0.113230692069608,0,0.207154601015975,0.679614706914417
"TCGA.76.4927.01A",0,0,0,0.0686480098437444,0,0.382444551133415,0.54890743902284
"TCGA.32.2638.01A",0,0,0,0.0456200983460479,0,0.200489163255414,0.753890738398538
"TCGA.14.1825.01A",0.030979886170364,0,0,0.0106284234704189,0,0.216313672885536,0.742078017473681
"TCGA.32.2632.01A",0.00319822455119458,0,0,0.0829787072355202,0,0.170996412995134,0.742826655218151
"TCGA.14.1823.01A",0.14681513207386,0,0,0.0757424974268827,0,0.225175624914593,0.552266745584664
"TCGA.12.3650.01A",0,0,0,0.0579863882928263,0,0.308842412375637,0.633171199331537
"TCGA.06.0211.01A",0,0,0,0.0558827396752543,0,0.305451486739502,0.638665773585243
"TCGA.06.0238.01A",0.100131824793037,0.000802541594589652,0,0.0937392383649205,0,0.0952488714101985,0.710077523837254
"TCGA.06.0184.01A",0.0093488306847547,0,0,0.12414508866519,0,0.185148297705356,0.681357782944699
"TCGA.76.4925.01A",0.0157932414953578,0,0,0.0120654602557824,0,0.227422335788037,0.744718962460823
"TCGA.12.0616.01A",0.0653580670394095,0.000221639919779735,0,0.0439899931288523,0,0.206142897703773,0.684287402208185
"TCGA.26.5132.01A",0.0112004878170502,0,0,0.0567691775126664,0,0.224999570906042,0.707030763764241
"TCGA.02.0055.01A",0.000469982704990681,0,0,0.0652905976701983,0,0.729196938923756,0.205042480701055
"TCGA.06.0132.01A",0.0321197319604188,0,0,0.194807610113307,0,0.18258843337957,0.590484224546705
"TCGA.02.2486.01A",0,0,0,0.193288225005913,0,0.109677232814505,0.697034542179582
"TCGA.19.1787.01B",0.0265766290951013,0.00206177040568762,0,0.0522379166858811,0,0.179414582498833,0.739709101314497
"TCGA.06.0211.01B",0.0214724877754398,0,0,0.0120049335055799,0,0.27899468314606,0.68752789557292
