"","Cancer Cells","B Cells","T Cells","Myeloid cells","Mast Cells","Fibroblasts","Endothelial Cells"
"TCGA.CV.5442.01A",0.27074997563368,0,0,0,0,0.0762584725577481,0.652991551808572
"TCGA.CR.7392.01A",0.0436970454596344,0,0.00272044362756911,0.0280562956618014,0.000554343720621565,0.36580172424648,0.559170147283894
"TCGA.UF.A71A.01A",0.0378762674283591,0,0,0.0103520600982798,0,0.666669372486397,0.285102299986964
"TCGA.CN.A642.01A",0.174031639571817,0,0.0693699420170715,0.00807603717938188,0,0.25501028297545,0.49351209825628
"TCGA.CV.A45U.01A",0.149633235348499,0,0.00202740446394379,0,0,0.16283193975756,0.685507420429997
"TCGA.CN.6012.01A",0.196881071026346,0.00156430841687447,0,0.0361900260567768,0,0.222759074867952,0.542605519632052
"TCGA.CV.A45W.01A",0.250931303573193,0.00187979420935654,0,0.0362374856682454,0,0.229774696542546,0.481176720006659
"TCGA.CV.A6K0.01B",0.0448501603566488,0.00218538249871717,0,0.026666744704697,0,0.41574522164349,0.510552490796447
"TCGA.QK.A6VB.01A",0.190972163402006,0,0,0.00954855488947949,0,0.381946776892008,0.417532504816506
"TCGA.CV.6959.01A",0.0142850278453878,0,0.000353337636543611,0.0039276462448198,0,0.181008782054069,0.80042520621918
"TCGA.HD.7832.01A",0.207429610658872,0,0,0.00213656299298336,0,0.0982883766963857,0.692145449651759
"TCGA.CV.7255.01A",0.00677157313071732,0,0,0,0,0.157890758518382,0.835337668350901
"TCGA.CR.5243.01A",0.0434907337844665,0.000428124055180024,0.00388471174840956,0,0.000663456075478888,0.283298642251485,0.66823433208498
"TCGA.P3.A6T5.01A",0.22347986865129,0.000125304108695921,0.000466120518213925,0,0,0.246179161562436,0.529749545159364
"TCGA.CV.6952.01A",0.158169773032011,0,0,0.00178579152957977,0,0.0590243654562827,0.781020069982127
"TCGA.D6.A6ES.01A",0.229334810437274,0.0195029723572096,0.0324337304941293,0,0,0.140463059498571,0.578265427212816
"TCGA.CN.5366.01A",0.0594716341842749,0,0.00104389616739325,0.00874625400046329,0,0.354613067912033,0.576125147735836
"TCGA.CQ.6223.01A",0.0475697961468529,0,0.00323080201592572,0.00723372861442703,0.00160355477484587,0.0651699412836809,0.875192177164268
"TCGA.F7.7848.01A",0.132822667774154,0.00329164732501258,0.00143487244436888,0.00289551938161651,0,0.284294460400857,0.575260832673991
"TCGA.CV.A6JM.01A",0.146718677832212,0.00263596355933114,0.00230049083445971,0.0162564369829883,0,0.307547442130451,0.524540988660558
"TCGA.CN.5359.01A",0,0,0,0.0358709567591391,0,0.632387614522139,0.331741428718722
"TCGA.P3.A5QA.01A",0.0464105361890772,0,0,0,0,0.582393410164579,0.371196053646343
"TCGA.CN.4734.01A",0,0,0.00498094119197652,0.026205478813471,0,0.187506527590371,0.781307052404182
"TCGA.CV.6441.01A",0.321025909067261,0,0,0,0,0.127035481270347,0.551938609662391
"TCGA.CV.A6JY.01A",0.253615221411763,0,0,0,0,0.114559580123719,0.631825198464518
"TCGA.D6.6825.01A",0.00181984446352806,0,0.00399701223103887,0.0386214270733946,0.00086970852652797,0.143801956782004,0.810890050923506
"TCGA.CR.5247.01A",0.0102611058813117,0,0,0,0,0.756057832704415,0.233681061414273
"TCGA.CV.7410.01A",0.0026229677364596,0,0.00416480035238524,0.0686277319037667,0,0.279909247005506,0.644675253001882
"TCGA.CV.7091.01A",0.0785483462191009,0.000103213166429951,0.00337504749084344,0,0,0.315205246695157,0.602768146428469
"TCGA.BA.5153.01A",0.0402426957780843,0,0.00494119568543394,0.0253631054237538,0,0.150753644125357,0.778699358987371
"TCGA.CV.7428.01A",0.0768353132850544,0.000593055027905659,0.000457071927982798,0.0311937531721079,0,0.189558863500022,0.701361943086927
"TCGA.CX.7086.01A",0.0896717771548161,0.00223393460608778,0.00190752038736168,0,0,0.133502038316875,0.772684729534859
"TCGA.CN.5364.01A",0.0380103540178394,0,0.000925558195840013,0.0211888580602728,0,0.293227839707265,0.646647390018783
"TCGA.BA.A6DB.01A",0.085193779815269,0,0.00437365766667498,0.0283276550719584,0.00466456281882265,0.271168939479331,0.606271405147944
"TCGA.CQ.5325.01A",0,0,0.00417889197040571,0.0451397608107478,0.00183399270774811,0.244249989205652,0.704597365305447
"TCGA.CN.4731.01A",0.123841325753682,0,0,0.000727474676754225,0,0.343619516603516,0.531811682966048
"TCGA.CV.7427.01A",0.00554327185769148,0,0.00486606642613695,0.0418400389384895,0,0.0497972585636265,0.897953364214056
"TCGA.CR.6467.01A",0.193507555119974,0.00228854558171383,0.00246004212029121,0.0355466365663959,0,0.151660267185022,0.614536953426603
"TCGA.CV.7183.01A",0.0842332124559387,0,0,0,0,0.307394322517162,0.608372465026899
"TCGA.CV.A6JN.01A",0.0705857628976465,0,0.00223302517234615,0,0,0.0487326562800787,0.878448555649929
"TCGA.D6.A6EN.01A",0.226038219416265,0,0,0.0327374498837112,0,0.0639860208346632,0.677238309865361
"TCGA.CQ.A4C7.01A",0.0449021647866289,0,0,0,0,0.442387893236596,0.512709941976776
"TCGA.CV.5435.01A",0.0920458303449133,0,0,0.000286832578424262,0,0.552336400180458,0.355330936896205
"TCGA.CR.7370.01A",0.129755724269355,0,0,0.0542592947737272,0,0.449529222147509,0.366455758809409
"TCGA.CN.4722.01A",0.107806348883284,0,0,0,0,0.477297566974988,0.414896084141728
"TCGA.F7.8489.01A",0.0231218432754924,0,0.00484157504393162,0.0425174009949256,0,0.117122471525668,0.812396709159982
"TCGA.CV.A6K2.01A",0.211091419485466,0,0.00350265646701753,0,0,0.176986475128254,0.608419448919263
"TCGA.HD.8634.01A",0.220999615203735,0,0,0,0,0.0561381311467633,0.722862253649501
"TCGA.CN.6994.01A",0.0746865713714294,0,0.00116306427124205,5.81305212683448e-05,0,0.501594990404218,0.422497243431842
"TCGA.D6.A4Z9.01A",0.150542761160689,0,0.0021067181010734,0,0,0.0988814864538534,0.748469034284385
"TCGA.CR.7376.01A",0,0,0.00358614994769995,0.0485161606408582,0.00120095863209608,0.548861155081172,0.397835575698174
"TCGA.CR.7391.01A",0.00317959871735504,0,0.00249799464617247,0.0453940665636916,0.000692045084352457,0.339632154686552,0.608604140301877
"TCGA.T2.A6X2.01A",0.0860137262110872,0,0.00229700897507802,0.0277113202704753,0,0.269807531904999,0.61417041263836
"TCGA.BA.4074.01A",0.00130458465811383,0,0,0,0,0.491295477475782,0.507399937866104
"TCGA.CN.6022.01A",0.00158885881395268,0,0.000778537588191817,0.0329358515165329,0.000167274283171348,0.488924568705,0.475604909093151
"TCGA.CN.A6V3.01A",0.145175247972497,0.00160185859568232,0.00336823864065571,0.0084242164327481,0,0.0666677578309818,0.774762680527435
"TCGA.QK.A8Z7.01A",0.256267424885306,0.00379452014480898,0,0,0,0.27867295228618,0.461265102683705
"TCGA.CN.A497.01A",0.195319444378363,0,0,0,0,0.289053259349821,0.515627296271816
"TCGA.F7.A50G.01A",0.111271035064065,0,0.00461718316057182,0.0291010651000881,0,0.109563856015869,0.745446860659406
"TCGA.IQ.A61I.01A",0.504769494365593,0.00159668810152386,0,0.00155885809235257,0,0.0215292071022696,0.470545752338261
"TCGA.CR.7373.01A",0.05666864032453,0,0,0.0145975738987853,0,0.0543334831562431,0.874400302620442
"TCGA.CN.A63T.01A",0.195146784196357,0,0,0.0267728457336776,0,0.140850513003191,0.637229857066775
"TCGA.CN.6019.01A",0,0,0,0.134803695488571,0,0.717297671991675,0.147898632519754
"TCGA.CR.7386.01A",0,0,0,0.0256478664114623,0.000616088795083598,0.741660137900171,0.232075906893283
"TCGA.HD.A6HZ.01A",0.0688092344744923,0,0.00458918113100981,0.0299451400528977,0,0.214307113758514,0.682349330583086
"TCGA.QK.A6IH.01A",0.124602333704168,0,0,0,0,0.345921818657554,0.529475847638277
"TCGA.CN.6011.01A",0.0312443023510155,0,0.0046615504416531,0,0,0.12084967918831,0.843244468019021
"TCGA.CR.6474.01A",0.00409427278663728,0,0,0.00900067391731783,0.000764438942584481,0.530382767689752,0.455757846663708
"TCGA.CV.6939.01A",0.176042061368848,0,0.00449805360930222,0.0142883037152406,0,0.16150279197834,0.643668789328268
"TCGA.D6.8568.01A",0.117926655838015,0,0,0.000347348122441086,0,0.343405896340189,0.538320099699355
"TCGA.HD.A634.01A",0.173148413219905,0.314669937099089,0,0,0,0.0874088607621561,0.424772788918849
"TCGA.CV.A45O.01A",0.804563035539864,0,0,0,0,0.00567660990119393,0.189760354558942
