"","Cancer Cells","B Cells","T Cells","Myeloid cells","Mast Cells","Fibroblasts","Endothelial Cells"
"TCGA.BP.4766.01A",0.0549368929440314,0,0,0.0320330347105657,0,0.0913554280284926,0.82167464431691
"TCGA.A3.3352.01A",0.0785926171868594,0,0,0.0231100610887559,0,0.0562316184582973,0.842065703266087
"TCGA.G6.A8L7.01A",0.496930889549078,0,0,0.0147666796088718,0,0.128936461390518,0.359365969451532
"TCGA.A3.A6NN.01A",0.0169548571897261,0,0,0.0247218583623829,0,0.154684675736451,0.80363860871144
"TCGA.T7.A92I.01A",0.0529589394460254,0,0,0.0428052471389572,0,0.0561372749500972,0.84809853846492
"TCGA.B0.5713.01A",0.185504780482377,0,0,0.0090001357994977,0,0.0287818818482362,0.776713201869889
"TCGA.CZ.4860.01A",0.0106371967955203,0,0,0.103546818110829,0,0.485499681498309,0.400316303595341
"TCGA.A3.3351.01A",0,0,0.00349643011155661,0.0403981016751792,0.000141951086885059,0.0722301575787359,0.883733359547643
"TCGA.B8.4148.01A",0,0,0.00486935014111101,0.0455337543303663,0,0.0405187254719585,0.909078170056564
"TCGA.BP.4345.01A",0,0,0,0.060534886877884,1.17856190281147e-05,0.40265730948829,0.536796018014798
"TCGA.BP.5010.01A",0.0889478883374992,0,0,0.000859345355369679,0,0.388302522039881,0.52189024426725
"TCGA.BP.4325.01A",0.0244104957550246,0,0.00454936416286706,0.0659393860258009,0,0.0638411185462276,0.84125963551008
"TCGA.B0.5102.01A",0.292630943317597,0,0,0.0224874193708756,0,0.076870315196821,0.608011322114706
"TCGA.BP.5185.01A",0.408673269722795,0,0,0.000206433009137226,0,0.139065866493848,0.452054430774219
"TCGA.CZ.5986.01A",0.0679147536012293,2.98645434929232e-05,0,0.0118387134977866,0,0.0927719197510105,0.827444748606481
"TCGA.CW.5590.01A",0.0210733689742671,0,0,0.0213351310427669,0,0.228897006772591,0.728694493210375
"TCGA.CJ.4904.01A",0.0177198606013958,0,0,0.021408486819799,0,0.0815669841760184,0.879304668402787
"TCGA.BP.4987.01A",0.0507766860653466,0,0,0.00965726453503258,0,0.102643239288313,0.836922810111308
"TCGA.B0.4849.01A",0.0183335930736067,0,0,0.0238249678706206,0,0.0666199925981761,0.891221446457597
"TCGA.BP.4329.01A",0.0136988882456207,0,0,0.0290515124118612,0,0.186183811475646,0.771065787866872
"TCGA.A3.3328.01A",0.414207044271928,0,0,0,0,0.0221205887213479,0.563672367006724
"TCGA.CJ.5672.01A",0.109084411364354,0,0,0.109754016018801,0,0.0672762172783775,0.713885355338467
"TCGA.B0.5104.01A",0.0506764671405415,0,0,0.0114583649132768,0,0.0671001385350591,0.870765029411122
"TCGA.CW.6097.01A",0,0,0,0.0602297204888741,0,0.271849949283653,0.667920330227473
"TCGA.B0.4700.01A",0.0368396412110574,0,0,0.0916119575033513,0,0.375149300619807,0.496399100665784
"TCGA.B0.5095.01A",0.000186428054364934,0,0.00018044329814579,0.00771427829725001,0,0.440922984434134,0.550995865916105
"TCGA.B0.4810.01A",0.0312924733424019,0.0015357269970903,0,0.0389405438305303,0.000405187544996847,0.238751280129105,0.689074788155875
"TCGA.CJ.4901.01A",0.0295598203932157,0,0,0.100216605032183,0,0.158912265960886,0.711311308613715
"TCGA.CJ.4643.01A",0.00283845993946651,0,0,0.0206118771395884,0,0.105694537229358,0.870855125691587
