"","Cancer Cells","B Cells","T Cells","Myeloid cells","Mast Cells","Fibroblasts","Endothelial Cells"
"TCGA.BQ.7044.01A",0.590750076426565,0,0,0.0650834432844448,0,0.0175572256143855,0.326609254674605
"TCGA.SX.A7SR.01A",0.625575672883822,0,0,0.0231936132286308,0,0.0233175962175097,0.327913117670037
"TCGA.MH.A854.01A",0.329725983365429,0,0,0.000475459215389351,0,0.117457131967032,0.552341425452149
"TCGA.B3.8121.01A",0.135521849232428,0.00138162140616749,0,0.134053943972882,0,0.172627489308951,0.556415096079572
"TCGA.2Z.A9JJ.01A",0.0891547053462285,0,0,0.005033659321605,0,0.273449787309631,0.632361848022535
"TCGA.B1.7332.01A",0.410948125780759,0,0,0.0671890852119739,0,0.0477782530669753,0.474084535940292
"TCGA.WN.A9G9.01A",0.10938659482732,0,0,0.425382085212656,0,0.0104876035808543,0.45474371637917
"TCGA.A4.8310.01A",0.223839198219563,0,0,0.0268757176322325,0,0.0419512775770499,0.707333806571154
"TCGA.2Z.A9JT.01A",0.757684633171343,0,0,0.134012137107066,0,0.0228943940240125,0.0854088356975792
"TCGA.5P.A9K2.01A",0.947386075609293,0,0,0,0,0.00991005027001582,0.042703874120691
"TCGA.4A.A93W.01A",0.783551009050011,0,0,0,0,0.0697916439268642,0.146657347023125
"TCGA.DW.7837.01A",0.699387460649274,0,0,0.0303709648451841,1.30587168147106e-05,0.0262528156081881,0.243975700180539
"TCGA.A4.A5DU.01A",0.840967418369736,0,0,0,0,0.00840402206313201,0.150628559567132
"TCGA.2Z.A9JI.01A",0.492879900534382,0.00363769852647091,0,0.0639362374379692,0,0.0507130007876691,0.388833162713509
"TCGA.BQ.7050.01A",0.633913947140456,0,0,0.011180742057833,0,0.0275988585336104,0.3273064522681
"TCGA.BQ.5894.01A",0.022731555952511,0.000966795054762809,0.00171312020961382,0.0372820609477231,0.00144610720166447,0.367404996186099,0.568455364447626
"TCGA.BQ.5879.01A",0.030305153522588,0,0,0.157452001050896,0,0.418569714174696,0.39367313125182
"TCGA.AL.3472.01A",0.518840621024164,0,0,0,0,0.109021719013659,0.372137659962178
"TCGA.MH.A560.01A",0.871250147336107,0,0,0,0,0.0188382105066791,0.109911642157214
"TCGA.BQ.5891.01A",0.133781168064989,0,0,0.0407870262223337,0,0.106070606886656,0.719361198826021
"TCGA.B9.A5W7.01A",0.390226901015684,0,0,0.0286464712908854,0,0.0408129750303506,0.54031365266308
"TCGA.UZ.A9PR.01A",0.376751979560503,0,0,0.0112091273796139,0,0.0310363663001496,0.581002526759734
"TCGA.B9.A69E.01A",0.203486398889259,0,0,0.109987545802505,0,0.108242728442127,0.578283326866109
"TCGA.B3.4104.01A",0.79311443196757,0,0,0,0,0.0540406352430162,0.152844932789414
"TCGA.SX.A71R.01A",0.812557297188015,0,0,0,0,0.00754205883452817,0.179900643977457
"TCGA.MH.A55Z.01A",0.639941604583843,0,0,0,0,0.011164104479358,0.348894290936799
"TCGA.UZ.A9PO.01A",0.732940027919182,0,0,0.10982091868967,0,0.011912063140176,0.145326990250971
"TCGA.G7.7501.01A",0.153024471262469,0,0,0.131799005261829,0,0.203305553401449,0.511870970074253
"TCGA.DW.7836.01A",0.219111325461544,0,0,7.63492794596423e-05,0,0.174287927886733,0.606524397372264
"TCGA.HE.A5NI.01A",0.668048292335398,0,0,0.0257235735842409,0,0.0215402133958248,0.284687920684536
"TCGA.G7.A8LE.01A",0.280720144661537,0,0,0,0,0.269385577969933,0.44989427736853
"TCGA.Y8.A895.01A",0.809165414282774,0,0,0,0,0.00936554175083021,0.181469043966396
"TCGA.UZ.A9PQ.01A",0.519022170707878,0,0,0,0,0.0910778227911958,0.389900006500926
"TCGA.BQ.5884.01A",0.0586899141426025,0,0,0.215193188367698,0,0.0961503005098799,0.62996659697982
"TCGA.BQ.5893.01A",0.270579910257459,0,0,0.020036192319772,0,0.264411293703656,0.444972603719112
"TCGA.UZ.A9PV.01A",0.482919709345761,0,0,0,0,0.0296000359844625,0.487480254669777
"TCGA.B9.4113.01A",0.356894651370778,0,0,0.0644481527268742,0.00136459438391215,0.0460726549648604,0.531219946553575
"TCGA.B3.3926.01A",0.326205166225101,0,0,0,0,0.0870074897482599,0.586787344026639
"TCGA.2Z.A9J3.01A",0.854290294942802,0,0,0,0,0.0156292268481207,0.130080478209078
"TCGA.Y8.A8RZ.01A",0.836979441927147,0,0,0.0291851729857973,0,0.0099352259110095,0.123900159176046
"TCGA.AT.A5NU.01A",0.619163145675016,0,0,0,0,0.0479643651194545,0.33287248920553
"TCGA.G7.6792.01A",0.173127675721219,0,0,0.0380133949084702,0,0.0728027949071706,0.71605613446314
"TCGA.5P.A9KC.01A",0.194818816318872,0,0,0.281271052425534,0,0.0510504457235163,0.472859685532078
"TCGA.Y8.A8S0.01A",0.233331157343037,0,0,0.00425151987766862,0,0.079551255929165,0.682866066850129
"TCGA.B1.A655.01A",0.518441150825968,0,0,0.047815139636719,0,0.0295819516350984,0.404161757902214
"TCGA.J7.8537.01A",0.170589326029638,0,0,0.279416527285047,0,0.143691047110787,0.406303099574527
"TCGA.KV.A6GD.01A",0.268824564504041,0,0,0.295804488061534,0,0.188288652590693,0.247082294843732
"TCGA.G7.A4TM.01A",0.306076553515286,0,0,0.0180864834219488,0.0050568579776758,0.124601745031782,0.546178360053307
"TCGA.G7.6790.01A",0.276296792563619,0,0,0.110186138698872,0,0.0883025053677407,0.525214563369768
"TCGA.A4.8515.01A",0.38507290330938,0,0,0,0,0.0252337858691773,0.589693310821442
"TCGA.BQ.7049.01A",0.0905265923448803,0.00441996914877671,0,0.0301191439794369,0,0.397079039954201,0.477855254572705
"TCGA.SX.A7SL.01A",0.860205496387913,0,0,0,0,0.00791184332291503,0.131882660289172
"TCGA.A4.7734.01A",0.0616120376379807,0.00190485229209482,0.00276160460926742,0.00900654155422176,3.00303902677541e-05,0.156518036284099,0.768166897232069
"TCGA.BQ.7053.01A",0.207092029474148,0,0,0.0213352311780881,0,0.144329952672099,0.627242786675665
