"","Cancer Cells","B Cells","T Cells","Myeloid cells","Mast Cells","Fibroblasts","Endothelial Cells"
"TCGA.TQ.A7RO.01A",0.0236303842970074,0,0,0,0,0.177821593795234,0.798548021907759
"TCGA.CS.6670.01A",0.106584036708029,0,0,0,0,0.1502224446524,0.743193518639572
"TCGA.QH.A6X5.01A",0.0610449753026878,0,0,0,0,0.230075923681534,0.708879101015778
"TCGA.HW.7493.01A",0.0204351012197071,0,0,0.0110702995582937,0,0.207442278349145,0.761052320872855
"TCGA.CS.6667.01A",0.0518899692532356,0,0,0,0,0.143393552668362,0.804716478078403
"TCGA.DU.6406.01A",0,0,0,0.00637827654493285,0,0.0494894005660727,0.944132322888995
"TCGA.DU.A7TA.01A",0.0223444717223395,0,0,0.0404812099947467,0,0.153032095930279,0.784142222352635
"TCGA.QH.A6X4.01A",0.054185706563046,0,0,0,0,0.0830554227375217,0.862758870699432
"TCGA.TQ.A7RR.01A",0.0398476489075988,0,0,0.0150122124742725,0,0.220223714824998,0.724916423793131
"TCGA.HT.8104.01A",0,0,0,0.0155574126667589,0,0.185314852441948,0.799127734891293
"TCGA.HT.A74K.01A",0.0896013844218399,0,0,0.0155062953418783,0,0.255451025153416,0.639441295082866
"TCGA.DB.A64X.01A",0.556770906800311,0,0,0,0,0.134750696006019,0.30847839719367
"TCGA.HT.8107.01A",0.060756790071637,0,0,0,0,0.0626661241281413,0.876577085800222
"TCGA.FG.A710.01A",0.0332368245068883,0,0,0.0352472521605596,0,0.168430775712719,0.763085147619833
"TCGA.QH.A6CX.01A",0.0824014314276677,0,0,0.0428973162288765,0,0.164192633449215,0.710508618894241
"TCGA.CS.6666.01A",0.026209314303345,0,0,0,0,0.185120247938677,0.788670437757978
"TCGA.TM.A7CA.01A",0.056743360407449,0,0,0,0,0.13083264043837,0.812423999154181
"TCGA.HW.7486.01A",0.0505986001127687,0,0,0.0132714661831831,0,0.135100780194755,0.801029153509293
"TCGA.QH.A6X8.01A",0.0869098577949586,0,0,0.0125761018525119,0,0.0740169384273076,0.826497101925222
"TCGA.DU.A76K.01A",0.0902032167462635,0,0,0,0,0.16774362073121,0.742053162522527
"TCGA.DB.A4XD.01A",0.0172375403584543,0,0,0,0,0.231952033526152,0.750810426115394
"TCGA.DH.A669.01A",0.0300951898140978,0.000639722268282947,0,0.00648791566878704,0,0.0995549605065598,0.863222211742272
"TCGA.WY.A858.01A",0.0975361349326736,0,0,0.0560216663223706,0,0.0819230681463978,0.764519130598558
"TCGA.DU.7294.01A",0.0447027408267321,0,0,0,0,0.210685282258019,0.744611976915249
"TCGA.TM.A7C3.01A",0.0323701804434574,0,0,0.00196951202154298,7.28086716810114e-05,0.159193908703026,0.806393590160292
"TCGA.WY.A85E.01A",0.0754700332291956,0,0,0,0,0.127278672231797,0.797251294539007
"TCGA.FG.A6J1.01A",0.0728028102673594,0,0,0,0,0.309143055873774,0.618054133858866
"TCGA.QH.A65Z.01A",0.0400450674561595,0,0,0,0,0.195699065281731,0.764255867262109
"TCGA.VM.A8CD.01A",0.0283950548954643,0,0,0.0203945881052047,0,0.170689561240709,0.780520795758622
"TCGA.HT.8019.01A",0.200915686138307,0,0,0,0,0.0676116152244517,0.731472698637241
"TCGA.QH.A6CV.01A",0.0198902169075791,0,0,0.0584713794010483,0,0.126454587208859,0.795183816482513
"TCGA.FG.A6IZ.01A",0.0276259342875362,0.0242266652144929,0,0,0,0.250354359559883,0.697793040938088
"TCGA.P5.A5F1.01A",0.0290668420705368,0,0,0.0395974374019933,0,0.208450812563618,0.722884907963852
"TCGA.P5.A72U.01A",0.0055692904079465,0,0,0.0269243986276159,0,0.342481457984389,0.625024852980048
"TCGA.CS.4943.01A",0.0530284936159467,0,0,0.0025613545811733,0.00399815136030404,0.150267333700462,0.790144666742114
"TCGA.P5.A5EW.01A",0.0106392859609707,0,0,0.00343357815258282,0.000825583274536973,0.269411664755105,0.715689887856804
"TCGA.E1.5322.01A",0.0211717114105848,0,0,0.0469126892881651,0,0.122785325257371,0.809130274043879
"TCGA.HT.A4DS.01A",0.0910142693758328,0,0,0.0637892729757373,0,0.193484794125772,0.651711663522658
"TCGA.FG.7634.01A",0,0,0,0.0200535073205928,0,0.209623149263899,0.770323343415509
"TCGA.DU.7306.01A",0.0239518814401072,0,0,0.00613853197633807,0,0.153837354637188,0.816072231946366
"TCGA.FG.7636.01A",0.07870352902906,0.000942387457014552,0,0,0,0.237669604489318,0.682684479024607
"TCGA.S9.A7J3.01A",0.0301309680429299,0,0,0,0,0.136109792208107,0.833759239748963
"TCGA.DU.A6S7.01A",0.0623121118542098,0,0,0.0140702309907355,0,0.116146208217947,0.807471448937107
"TCGA.DU.6396.01A",0,0,0,0.0806669119116502,0,0.132803077802554,0.786530010285796
"TCGA.S9.A7QW.01A",0.133814591687408,0,0,0,0,0.142677491574004,0.723507916738589
"TCGA.FG.7643.01A",0.0765494508931214,0,0,0.00119214129653728,0,0.113240973571079,0.809017434239263
"TCGA.S9.A7R4.01A",0.0597810678860265,0,0,0.00720959235174177,0,0.100259501845306,0.832749837916926
"TCGA.DU.A6S8.01A",0.131918582777313,0,0,0,0,0.113930811935532,0.754150605287155
"TCGA.HT.7601.01A",0,0,0,0.0782879240338803,0,0.0624631840388655,0.859248891927254
