"","Cancer Cells","B Cells","T Cells","Myeloid cells","Mast Cells","Fibroblasts","Endothelial Cells"
"TCGA.A5.A0R8.01A",0.694452860157815,0,0,0,0,0.0616469307048642,0.24390020913732
"TCGA.A5.A0G3.01A",0.19076710422736,0,0,0,0,0.425888183215905,0.383344712556735
"TCGA.AP.A054.01A",0.152592487077399,0,0,0,0,0.273425200476165,0.573982312446436
"TCGA.A5.A0GX.01A",0.302184981431324,0.00171176964938515,0,0,0,0.419780068852913,0.276323180066378
"TCGA.DI.A2QY.01A",0.692566405342401,0,0,0,0,0.0881603493747485,0.21927324528285
"TCGA.EY.A1GC.01A",0.234880803558697,0.00481216639095096,0,0.0593637906807433,0,0.0772863639829963,0.623656875386612
"TCGA.A5.A0GI.01A",0.648613200951529,0,0,0,0,0.127158505821002,0.224228293227469
"TCGA.D1.A17S.01A",0.905654624399603,0,0,0,0,0.0262157024485039,0.0681296731518931
"TCGA.EY.A5W2.01A",0.388029259588397,0,0,0,0,0.294397071715286,0.317573668696318
"TCGA.D1.A1NU.01A",0.646482491795064,0,0,0,0,0.0616151353498539,0.291902372855082
"TCGA.BG.A18A.01A",0.389085627652956,0,0,0,0,0.206191208593419,0.404723163753625
"TCGA.AX.A06B.01A",0.447174508509539,0,0,0,0,0.191900583490967,0.360924907999493
"TCGA.E6.A2P9.01A",0.256755128180001,0.00112030416185456,0.00367184145321073,0,0,0.126801590242421,0.611651135962512
"TCGA.PG.A917.01A",0.0582304735683729,0.119618325023889,7.40402895246688e-05,0.0193270738618417,0,0.114625838341198,0.688124248915173
"TCGA.AX.A3FS.01A",0.0562769225105402,0.000891309501340675,0.00098523410841906,0,0,0.466142768638575,0.475703765241125
"TCGA.A5.A2K4.01A",0.37104641126582,0,0.000666414249621491,0,0,0.274338772507898,0.353948401976661
"TCGA.D1.A1O0.01A",0.478968446435107,0,0,0,0,0.050334060186792,0.470697493378101
"TCGA.B5.A0JS.01A",0.654482675185979,0,0,0,0,0.140016797212248,0.205500527601773
"TCGA.AX.A1CE.01A",0.855242640343767,0,0,0,0,0.0318647183250359,0.112892641331197
"TCGA.D1.A17F.01A",0.756993803600021,0,0,0.00880411364934607,0,0.045608983889608,0.188593098861025
"TCGA.EO.A3AV.01A",0.116406228007156,0,0,0.0290593656948247,0,0.0611514491353836,0.793382957162636
"TCGA.D1.A17B.01A",0.209941570013067,0,0,0.0629742587109951,0,0.253422116281395,0.473662054994543
"TCGA.E6.A8L9.01A",0.11403773272574,0,0,0,0,0.354736126178422,0.531226141095838
"TCGA.EY.A547.01A",0.259273844427217,0.315211000249626,0,0,0,0.148413901420018,0.277101253903138
"TCGA.AJ.A3OJ.01A",0.383093584937562,0,0,0.000307641669126584,0,0.221671259334792,0.39492751405852
"TCGA.BS.A0TJ.01A",0.270876868357301,0,0.000757811568940785,0,0,0.344314598941083,0.384050721132675
"TCGA.BG.A0VV.01A",0.787719290245876,0,0,0,0,0.054526276388428,0.157754433365696
"TCGA.D1.A16V.01A",0.368579582554988,0,0,0.0199527379995299,0,0.0980135883277732,0.513454091117709
"TCGA.EO.A22R.01A",0.300938070717753,0,0,0.0366635299510653,0,0.282522889056729,0.379875510274452
"TCGA.BG.A0MH.01A",0.339431803590283,0,0,0,0,0.344138363432805,0.316429832976912
"TCGA.EO.A3KX.01A",0.340171764055424,0,0,0,0,0.119473751815137,0.540354484129438
"TCGA.AX.A0IS.01A",0.253840576490511,0,0,0,0,0.272875255634709,0.47328416787478
"TCGA.EY.A1G8.01A",0.313531550879249,0,0,0,0,0.159299323108268,0.527169126012484
"TCGA.EY.A1GW.01A",0.838281764002043,0,0,0,0,0.0103868339781142,0.151331402019842
"TCGA.BG.A0RY.01A",0.502661406047463,0,0,0.00614865915244249,0,0.0983794281987854,0.39281050660131
"TCGA.D1.A1NY.01A",0.233080192229506,0,0,0,0,0.250585225957415,0.516334581813079
"TCGA.B5.A3S1.01A",0.298757093620548,0.00148147076243235,0.00141576345099413,0.000630754626555544,0,0.303083120002729,0.39463179753674
"TCGA.A5.A2K5.01A",0.520686537891892,0,0,0.0712075235059811,0,0.143128508300611,0.264977430301516
"TCGA.AX.A062.01A",0.82614447171322,0,0,0,0,0.0552536556274108,0.118601872659369
"TCGA.A5.A0G5.01A",0.34370650511699,0,0.0014369455807666,0.11704175243787,0,0.0923989803876077,0.445415816476766
"TCGA.AP.A0LH.01A",0.649007657743258,0,0,0,0,0.0551388965209368,0.295853445735805
"TCGA.BS.A0WQ.01A",0.40419871111643,0,0,0,0,0.224013301596729,0.371787987286842
"TCGA.FI.A2EY.01A",0.960315742177487,0,0,0,0,0.00606403365347076,0.0336202241690422
"TCGA.EY.A549.01A",0.523997327893336,0,0,0,0,0.0462360395855292,0.429766632521134
"TCGA.FI.A2D0.01A",0.379936089940741,0,0,0,0,0.166373082908739,0.45369082715052
"TCGA.BS.A0V7.01A",0.392827994338139,0,0,0.00149090661164352,0,0.368487805477951,0.237193293572267
"TCGA.B5.A1MW.01A",0.0397099448723945,0,0,0,0,0.138234651928328,0.822055403199278
"TCGA.D1.A17D.01A",0.603663476580674,0,0,0,0,0.0810882232267036,0.315248300192623
"TCGA.BS.A0TA.01A",0.323228505004981,0.00219609361867412,0,0.1106250329054,0,0.0638971158914662,0.500053252579478
"TCGA.AX.A05Z.01A",0.465281130135672,0.00414840853572121,0,0.0426748977806199,0,0.141401979811471,0.346493583736516
"TCGA.D1.A17L.01A",0.672067156455931,0,0,0,0,0.0483022546963185,0.279630588847751
"TCGA.A5.A0GQ.01A",0.631292581877241,0,0,0,0,0.0456407162747143,0.323066701848045
"TCGA.AX.A3G1.01A",0.404794821378505,0,0.000432431296198302,0,0,0.042232230147725,0.552540517177571
"TCGA.BK.A0CC.01A",0.000118647991933546,0,0,0.021850498212401,0,0.43576797407976,0.542262879715905
"TCGA.D1.A1O8.01A",0.198037252444134,0.00172054224316543,0,0.0868115506427456,0,0.156456977272503,0.556973677397452
"TCGA.DI.A1NN.01A",0.212066013042365,0.00398588124954784,0.000879127595216902,0.0228659214145621,0,0.184029097650454,0.576173959047854
"TCGA.B5.A0K9.01A",0.295157976936243,0.00235940854066414,0.00242264846534415,0,0,0.263240641608433,0.436819324449316
"TCGA.FI.A2CY.01A",0.168849820884863,0,0.00483887120732329,0.0556025116258369,0,0.0701186541151708,0.700590142166806
"TCGA.AP.A1DR.01A",0.287944708300623,0,0,0,0,0.20618243290493,0.505872858794447
"TCGA.B5.A11Q.01A",0.941672007488231,0,0,0,0,0.00505921466488343,0.0532687778468858
"TCGA.BS.A0U7.01A",0.276221174436448,0,0,0.0342196958220257,0,0.345854150338971,0.343704979402555
"TCGA.A5.A0VQ.01A",0.528647614127553,0,0,0,0,0.12131748710859,0.350034898763858
"TCGA.BS.A0TE.01A",0.627427838462983,0,0,0.0303426102003006,0,0.0879747618441582,0.254254789492559
"TCGA.BS.A0T9.01A",0.26831844891534,0,0,0,0,0.341717048865369,0.389964502219291
"TCGA.AW.A1PO.01A",0.355189765851056,0,0,0,0,0.0400085814667387,0.604801652682205
"TCGA.AJ.A3I9.01A",0.449223309907928,0,0,0,0,0.14955080360345,0.401225886488622
"TCGA.AJ.A8CV.01A",0.191602506590753,0.0013021334438061,0.00178778066856769,0.0374526396672998,0,0.0943623566898436,0.67349258293973
"TCGA.B5.A121.01A",0.302101995548818,0,0,0,0,0.145197481595662,0.552700522855521
"TCGA.AX.A1CN.01A",0.178976074333122,0,0,0,0,0.312123713269944,0.508900212396934
"TCGA.BK.A139.01A",0,0,0.00491879991352063,0.0292084570542038,0,0.104185673623795,0.861687069408481
"TCGA.EY.A1G7.01A",0.384730453967015,0,0,0,0,0.16985942907093,0.445410116962054
"TCGA.BK.A6W3.01A",0.100805907754356,0,0.00494225191580083,0.0158846536653566,0,0.1006749081007,0.777692278563787
"TCGA.FI.A2CX.01A",0.0046608896667045,0.00165243800607666,0,0.496627914940619,0,0.0320688783214242,0.464989879065175
"TCGA.DI.A2QU.01A",0.854150537589498,0,0,0,0,0.0339015897013581,0.111947872709144
"TCGA.AP.A0LT.01A",0.637947579793457,0,0,0,0,0.159245780630019,0.202806639576523
"TCGA.EO.A3AS.01A",0.725576645547668,0,0,0,0,0.0745494354274602,0.199873919024872
"TCGA.E6.A1LZ.01A",0.593315524930281,0,0,0.0624450282107979,0,0.0464268837514672,0.297812563107454
"TCGA.AP.A1DO.01A",0.629647105887804,0,0,0,0,0.0520501399015817,0.318302754210614
"TCGA.AX.A2HC.01A",0.0132263952013236,0,0,0.0178398693138151,0,0.290088175534358,0.678845559950504
"TCGA.EC.A1QX.01A",0.479286870705325,0,0,0,0,0.1231069773107,0.397606151983974
"TCGA.A5.A0GB.01A",0.201429905015581,0,0,0,0,0.173528218569299,0.62504187641512
"TCGA.B5.A11Y.01A",0.448529680553886,0,0,0.0238225272992345,0,0.038997980263903,0.488649811882977
"TCGA.AJ.A3IA.01A",0.403577279658884,0,0,0.0202282495115678,0,0.29000990216614,0.286184568663408
"TCGA.D1.A1NS.01A",0.722832774330283,0,0,0,0,0.0295062329444658,0.247660992725251
"TCGA.AX.A2H2.01A",0.570180711837304,0,0,0,0,0.091418098751979,0.338401189410717
"TCGA.D1.A162.01A",0.392314891148918,0,0,0.00481270461618028,0,0.103921103289336,0.498951300945566
"TCGA.AP.A0LG.01A",0.342015803170557,0.000867720480572021,0,0,0,0.143797509586781,0.513318966762091
"TCGA.DF.A2KN.01A",0.325215971008156,0.00379351470832047,0,0.0399991763160606,0,0.169089701394005,0.461901636573458
"TCGA.AX.A1C4.01A",0.265703013035901,0,0,0,0,0.206869891333713,0.527427095630386
"TCGA.AJ.A3EJ.01A",0.193323190078529,0,0,0.0139546126395635,0,0.404389425346473,0.388332771935434
"TCGA.BK.A26L.01C",0.118340683558966,0,0,0,0,0.410278823260658,0.471380493180376
"TCGA.A5.A2K3.01A",0.102867058578399,0,0.0880340913030341,0.2710198811722,0,0.0807471076258831,0.457331861320483
"TCGA.AP.A05H.01A",0.220309153022181,0.00187078241478087,0,0,0,0.658830785416248,0.118989279146791
"TCGA.AX.A3FV.01A",0.601504230207989,0,0,0,0,0.0479409756210281,0.350554794170983
"TCGA.D1.A16F.01A",0.415607381605294,0,0,0,0,0.16925400434782,0.415138614046885
"TCGA.JU.AAVI.01A",0.391201099851099,0.000763335222599584,0.00411541642197125,0.0105394851709187,0,0.137775825293759,0.455604838039653
"TCGA.AX.A06L.01A",0.554176732649013,0,0,0,0,0.158295683780124,0.287527583570863
"TCGA.BG.A3PP.01A",0.255133092970018,0,0,0,0,0.403716931925276,0.341149975104706
"TCGA.B5.A1MU.01A",0.0849780074023047,0,0,0.0177197759187751,0,0.434010240454893,0.463291976224027
"TCGA.A5.A0RA.01A",0.239349631015688,0,0,0,0,0.0984601191256277,0.662190249858684
"TCGA.BG.A0MK.01A",0.104564932816721,0,0,0.0357021206279121,0,0.312555998457429,0.547176948097938
"TCGA.EO.A3L0.01A",0.574521636963365,0,0,0,0,0.105021725997591,0.320456637039044
"TCGA.B5.A3F9.01A",0.252552352659191,0.00150725710844629,0,0.000747289611630096,0,0.217953960502844,0.527239140117889
"TCGA.AJ.A2QO.01A",0.484333768211572,0,0,0.0171387977744559,0,0.212074994027606,0.286452439986366
"TCGA.D1.A0ZO.01A",0.257761297162232,0,0,0,0,0.213903941173695,0.528334761664074
"TCGA.AP.A1DM.01A",0.38368133678346,0,0,0,0,0.255004456400289,0.361314206816251
"TCGA.SL.A6JA.01A",0.423894798493224,0,0,0,0,0.089851907684076,0.4862532938227
"TCGA.EO.A22T.01A",0.350863162009189,0,0,0.0130153098506392,0,0.181825856634493,0.45429567150568
"TCGA.B5.A11V.01A",0.276416198705484,0.000481842495877642,0,0,0,0.376024744757737,0.347077214040902
"TCGA.AP.A051.01A",0.381604233875974,0.00326222895904969,0.000162476695651747,0,0,0.201397189281734,0.413573871187591
"TCGA.AJ.A2QL.01A",0.324295262051459,0.0006911427206028,0,0.0204674063835246,0.0035167740709364,0.0810363000891521,0.569993114684325
"TCGA.BS.A0TC.01A",0.54562165643365,0,0,0,0,0.0667843268513647,0.387594016714985
"TCGA.B5.A1MS.01B",0.41010446653544,0,0,0,0,0.209835446978393,0.380060086486167
"TCGA.A5.A0R9.01A",0.189965709923493,0.0896318436598246,0,0,0,0.348151017698076,0.372251428718607
"TCGA.A5.A0GV.01A",0.847084010091408,0,0,0,0,0.0346547224760744,0.118261267432518
"TCGA.B5.A1MZ.01A",0.108705284124598,0,0,0.010840396547097,0,0.266876303227004,0.613578016101302
"TCGA.D1.A1NW.01A",0.582599815061966,0.000849643107456393,0,0,0,0.133713158930224,0.282837382900354
"TCGA.AX.A2HF.01A",0.368761562503369,0,0,0,0,0.0928887235683251,0.538349713928306
"TCGA.A5.A2K2.01A",0.331605029866938,0,0,0,0,0.0716970759669704,0.596697894166092
"TCGA.D1.A102.01A",0.156959511517658,0,0.00361842162003327,0.00136894459202056,0,0.171464201854442,0.666588920415846
"TCGA.BS.A0UL.01A",0.577140276650689,0,0,0.00128038384176743,0,0.155365585561412,0.266213753946132
"TCGA.BG.A0MA.01A",0.243473326956741,0,0,0,0,0.404770051116255,0.351756621927004
"TCGA.EO.A1Y5.01A",0.167232486855238,0.00293456154882407,0.0018262222275719,0.027150111580683,0,0.219653093588039,0.581203524199644
"TCGA.EY.A1GL.01A",0.460079868190189,0,0,0,0,0.230620128593497,0.309300003216314
"TCGA.A5.A2K7.01A",0.0961995364680778,0,0,0.000385639722599381,0,0.285425420970423,0.6179894028389
"TCGA.EO.A2CH.01A",0.516303588545856,0,0,0,0,0.0331993200582647,0.450497091395879
"TCGA.A5.A3LO.01A",0.373215105912183,0,0,0,0,0.078784409784942,0.548000484302875
"TCGA.EO.A3B1.01A",0.229018187993744,0.000337847844989793,0.00226913805043206,0.00508267906249134,0,0.272274225425325,0.491017921623018
"TCGA.AJ.A3NC.01A",0.649007519855274,0,0,0,0,0.0571991921803354,0.29379328796439
"TCGA.B5.A11U.01A",0.0899476916334423,0,0,0,0,0.494824804912512,0.415227503454046
"TCGA.D1.A168.01A",0.197609633237928,0,0,0,0,0.687211281475177,0.115179085286895
"TCGA.AP.A0LV.01A",0.241197280177162,0,0,0,0,0.387294794067383,0.371507925755456
"TCGA.A5.A0VP.01A",0.691888812142016,0,0,0,0,0.0223578741914553,0.285753313666529
"TCGA.BK.A0C9.01A",0.285878755453021,0.00465854834016051,0,8.84047315966589e-05,0,0.25147169764319,0.457902593832032
"TCGA.D1.A16N.01A",0.179548130105358,0,0,0,0,0.311684274579711,0.508767595314931
"TCGA.K6.A3WQ.01A",0.37828618885487,0,0,0,0,0.204386936690861,0.417326874454269
"TCGA.D1.A3JP.01A",0.391859782372523,0,0,0.0875767785264349,0,0.181018911641637,0.339544527459405
"TCGA.QS.A744.01A",0.181545578163322,0,0,0,0,0.357237594534262,0.461216827302416
"TCGA.BK.A4ZD.01A",0.480716059245338,0,0,0,0,0.174412388083289,0.344871552671373
"TCGA.AJ.A2QM.01A",0.289445553839717,0,0,0,0,0.141577873807362,0.568976572352921
"TCGA.FI.A2F8.01A",0.72367659398684,0,0,0,0,0.0743819570717912,0.201941448941369
"TCGA.AX.A1CA.01A",0.585728911035926,0.0045701165315313,0,0,0,0.108264598136828,0.301436374295715
"TCGA.EY.A1GQ.01A",0.428946142997463,0,0,0,0,0.170074664901668,0.400979192100869
"TCGA.DI.A1BY.01A",0.421891875370893,0,0,0,0,0.273048486285022,0.305059638344085
"TCGA.BG.A2AD.01A",0.235278925687354,0,0,0,0,0.354362563131803,0.410358511180843
"TCGA.EO.A3B0.01A",0.0625344190166273,0.00145839275510914,0.000766621991889763,0.0613408858895601,0,0.539057404540254,0.33484227580656
"TCGA.D1.A16X.01A",0.271867454822195,0,0,0.0272019475516409,0,0.108771194732127,0.592159402894037
"TCGA.EY.A1H0.01A",0.73964126580254,0,0,0,0,0.0717946726193811,0.188564061578079
"TCGA.B5.A3FD.01A",0.457710953699756,0,0,0,0,0.217251638850131,0.325037407450112
"TCGA.BG.A0YU.01A",0.398618431505297,0,0,0,0,0.27922885398419,0.322152714510513
"TCGA.EO.A3AY.01A",0.314636092416911,0.0028136822325366,0.00213613599765939,0,0,0.130516728648378,0.549897360704515
"TCGA.EY.A548.01A",0.380865859712686,0.0241759463987025,0,0,0,0.134547287831527,0.460410906057085
"TCGA.D1.A16E.01A",0.327402509198465,0,0,0.0151504602043408,0,0.122539071419908,0.534907959177286
"TCGA.AJ.A3NE.01A",0.0913229789636376,0.000174275021362243,0.0046597677718659,0.000393262845206373,0,0.162835865663014,0.740613849734914
"TCGA.BS.A0TD.01A",0.742719366220919,0,0,0,0,0.0403485215681827,0.216932112210898
"TCGA.EY.A2ON.01A",0.405910364346416,0,0,0.00425221256539246,0,0.0823200190602825,0.507517404027909
"TCGA.D1.A0ZP.01A",0.264805280702976,0,0,0,0,0.290173235290102,0.445021484006922
"TCGA.EY.A1GT.01A",0.209771757271876,0,0,0,0,0.346882762623707,0.443345480104418
"TCGA.BK.A0CC.01B",0.0332499573067061,0,0,0.0155404646218256,0,0.462698074656643,0.488511503414825
"TCGA.KP.A3W4.01A",0.235570991048173,0,0,0,0,0.29413718553122,0.470291823420608
"TCGA.FI.A2D6.01A",0.049657018343813,0,0,0.029399411435409,0,0.393695066317675,0.527248503903103
"TCGA.BG.A0MQ.01A",0.386994038881527,0.00175083815683123,0,0,0,0.21560072249512,0.395654400466521
"TCGA.D1.A16Y.01A",0.333982496476377,0.00215797631487018,0,0,0,0.385849868232848,0.278009658975905
"TCGA.A5.A0R7.01A",0.656782641038913,0,0,0,0,0.106991584311123,0.236225774649964
"TCGA.BG.A186.01A",0.61609440766249,0,0,0,0,0.108336754101105,0.275568838236405
"TCGA.AP.A05O.01A",0.353651456989326,0,0,0.0377633915189037,0,0.0547259872761894,0.553859164215581
"TCGA.AJ.A3BF.01A",0.154662179088382,0,0,0.0117252567159422,0,0.329012247776032,0.504600316419644
"TCGA.BG.A0VT.01A",0.54743509664994,0,0,0,0,0.154197381496612,0.298367521853448
"TCGA.AP.A0L9.01A",0.34746555646625,0,0,0,0,0.0468047407529099,0.60572970278084
"TCGA.AX.A1C9.01A",0.396954609055459,0,0,0.000278495380566975,0,0.133719893796573,0.469047001767401
"TCGA.D1.A16R.01A",0.4210569752486,0,0,0,0,0.153958287005487,0.424984737745913
"TCGA.BG.A3EW.01A",0.132655928297064,0,0,0.00890947659835714,0,0.27583392210186,0.582600673002718
"TCGA.AX.A2HD.01A",0.152531010088291,0.00472387156317884,1.53232756329822e-05,0.00280588177809009,0,0.166619421821266,0.673304491473541
"TCGA.AJ.A3TW.01A",0.352767531847268,0,0,0.0757441729753746,0,0.0639626754568748,0.507525619720483
"TCGA.AJ.A3OK.01A",0.406728161341016,0,0,0,0,0.278121637921969,0.315150200737015
"TCGA.FI.A2EW.01A",0.789440733269649,0,0,0,0,0.0665669512149505,0.1439923155154
"TCGA.BG.A0M2.01A",0.560469301687344,0,0,0,0,0.0707102128495154,0.368820485463141
"TCGA.AX.A1CI.01A",0.934613100095681,0,0,0,0,0.0136063810606078,0.0517805188437108
"TCGA.A5.A0GR.01A",0.567459221629335,0,0,0.0453236220518748,0,0.0905038576926347,0.296713298626156
"TCGA.D1.A0ZN.01A",0.493231478757851,0,0,0,0,0.125321836226931,0.381446685015217
"TCGA.BS.A0TG.01A",0.453202469984929,0,0,0,0,0.269367054580675,0.277430475434396
"TCGA.BG.A0MO.01A",0.387629350723147,0,0,0.00896965640027002,0,0.0369814766633101,0.566419516213273
"TCGA.D1.A15X.01A",0.367749137851991,3.89290581563496e-05,0.00475831863368136,0.00328908334715798,0,0.00313861854860699,0.621025912560407
"TCGA.B5.A0K8.01A",0.56337034400213,0,0,0,0,0.136319096364792,0.300310559633078
"TCGA.DI.A1BU.01A",0.421910212352225,0,0,0,0,0.282391834845684,0.295697952802091
"TCGA.EY.A1GI.01A",0.274354573987685,0.00132199545665251,0.0010743254943103,0,0,0.289410708080428,0.433838396980925
"TCGA.EY.A215.01A",0.495139711714052,0,0,0,0,0.0936620522631363,0.411198236022812
"TCGA.D1.A3DG.01A",0.193922555811787,0.00167455965960092,0,0,0,0.307426240243451,0.496976644285161
"TCGA.EO.A22U.01A",0.522644821393677,0.0026429528235312,0.00111684229352882,0,0,0.142864967156781,0.330730416332482
"TCGA.AX.A3FW.01A",0.772204526485845,0,0,0,0,0.0344792462541982,0.193316227259956
"TCGA.AP.A1DP.01A",0.819044917789329,0,0,0,0,0.0360447353362847,0.144910346874387
"TCGA.A5.A0GG.01A",0.19566478563553,0.00288977561901732,0,0.0042995690050125,0,0.242204568212347,0.554941301528094
"TCGA.AP.A05D.01A",0.514483196085413,0,0,0.0235211819689097,0,0.0749899169235975,0.38700570502208
"TCGA.KP.A3W3.01A",0.301977725443779,0,0,0.0179675875727302,0,0.0639026430431298,0.616152043940361
"TCGA.B5.A5OC.01A",0.131785048496058,0,0.00455113331161819,0.0320307427939652,0,0.209704799562739,0.621928275835619
"TCGA.BG.A0MU.01A",0.559543314105954,0,0,0.00635503017917519,0,0.050409163581288,0.383692492133583
"TCGA.D1.A0ZV.01A",0.535670866561163,0,0,0.0182941804425929,0,0.0976319627407247,0.348402990255519
"TCGA.EO.A22X.01A",0.0406728338235141,0,0,0.0169480569227767,0,0.491151747621297,0.451227361632412
"TCGA.B5.A11O.01A",0.547924362744584,0,0,0,0,0.284086539328241,0.167989097927175
"TCGA.QS.A5YQ.01A",0.273551988106899,0.120804025610879,0.00192450126655364,0,0,0.17946415655126,0.424255328464408
"TCGA.EY.A54A.01A",0.28856102171074,0,0.0014847360886871,0.00309277087294558,0,0.131013234908178,0.57584823641945
"TCGA.D1.A3DH.01A",0.137292504526828,0,0,0,0,0.257945028936883,0.60476246653629
