"","B Cells","Endothelial Cells","Fibroblasts","Macrophages","Cancer Cells","T Cells","Mast Cells"
"TCGA.C5.A7UI.01A",0,0.64693688438372,0.118810651386308,0.0541922463223003,0.136153754860812,0.0429673048687287,0.000939158178131526
"TCGA.C5.A902.01A",0.0193940471799641,0.722598559731243,0.14746838499143,0.0172796725618966,0.0931260646926004,0,0.000133270842866135
"TCGA.DS.A1OB.01A",0,0.62658068255831,0.254815293623929,0.072356729089064,0.0462472947286971,0,0
"TCGA.Q1.A6DW.01A",0,0.682087109711642,0.317912890288358,0,0,0,0
"TCGA.EK.A2R7.01A",0.000996165699528096,0.520805279089786,0.372391255529237,0.0807921223954919,0.0228768630006242,0.00138664898592335,0.000751665299408902
"TCGA.C5.A7X8.01A",0,0.414431954026948,0.560449273680507,0.0224127417288361,0.000207523809923967,0,0.00249850675378524
"TCGA.Q1.A5R3.01A",0,0.526672632704252,0.15447513546704,0.0400427818591665,0.274438211745633,0,0.00437123822390937
"TCGA.C5.A7X5.01A",0,0.624189928181964,0.363447366835987,0.0123627049820488,0,0,0
"TCGA.ZJ.A8QR.01A",0,0.826332425314234,0.138764219240069,0.034903355445697,0,0,0
"TCGA.HM.A3JK.01A",0,0.322414141006019,0.658839134738419,0.0183005411044166,0,0,0.00044618315114444
"TCGA.EA.A556.01A",0,0.480170613122555,0.501800603609661,0.0180287832677836,0,0,0
"TCGA.VS.A9V4.01A",0.00492604584011872,0.539466159318032,0.223985124186201,0.0294436155634316,0.202163333588752,0,1.57215034647106e-05
"TCGA.IR.A3L7.01A",0,0.485430819907241,0.453805192557412,0,0.0596666826000397,0.00109730493530661,0
"TCGA.EK.A2RL.01A",0.00225646192012322,0.705093049370844,0.27039879718831,0.0104944666579579,0.011757224862765,0,0
"TCGA.VS.A94X.01A",0,0.815905251783963,0.149197923162038,0.0267868221661712,0.00811000288782824,0,0
"TCGA.VS.A9V3.01A",0,0.850439262390062,0.0997923765722138,0.0469582278299435,0,0.00156015286282411,0.0012499803449572
"TCGA.EK.A2RO.01A",0,0.455061196634687,0.512807678018079,0.0321311253472347,0,0,0
"TCGA.JW.A5VJ.01A",0.00248978557077906,0.630649634494118,0.298955875405016,0.0291724636688568,0.0367067510161156,0.00176592299566147,0.00025956684945249
"TCGA.MA.AA42.01A",0,0.672509813952717,0.0681476079284634,0.259342578118819,0,0,0
"TCGA.C5.A1MK.01A",0,0.587060200815575,0.382400678987792,0.030539120196633,0,0,0
"TCGA.UC.A7PG.01A",0.00157552088675015,0.477985513225507,0.482628233347562,0.00198416748165334,0.0338678764376604,0,0.00195868862086718
"TCGA.VS.A9UH.01A",0,0.685647750706473,0.185877245635775,0.128475003657751,0,0,0
"TCGA.4J.AA1J.01A",0,0.590680885935331,0.409319114064669,0,0,0,0
"TCGA.C5.A1ME.01A",0.0046150051865937,0.503396102304466,0.18959006927414,0.0521604626342732,0.246216264458007,0,0.00402209614251958
"TCGA.C5.A8YR.01A",0,0.59790540839581,0.258591053888688,0.143503537715502,0,0,0
"TCGA.EA.A5FO.01A",0,0.654998948512315,0.262759485818836,0.0263245488599598,0.0559170168088887,0,0
"TCGA.MA.AA3Z.01A",0,0.902687778276184,0.0674121573513929,0.0299000643724231,0,0,0
"TCGA.C5.A8XJ.01A",0.00169711532690644,0.530205087867755,0.462636110529025,0.0023609547332205,0,0.00307154695977967,2.91845833134728e-05
"TCGA.R2.A69V.01A",0,0.61195388311462,0.0829644669497809,0.222142423148409,0.0211295828606815,0.0597031708834227,0.00210647304308661
"TCGA.C5.A1BM.01A",0.000461528683508048,0.796791757853545,0.0703055335930294,0.12799768568301,0.000135346468392788,0.00428287564398057,2.52720745336885e-05
"TCGA.ZJ.AAXD.01A",0,0.477048709754883,0.522951290245117,0,0,0,0
"TCGA.HM.A4S6.01A",0,0.668400444429488,0.258149150536417,0.0734504050340959,0,0,0
"TCGA.EA.A5ZF.01A",0,0.381261093804725,0.568487360429643,0.0502515457656328,0,0,0
"TCGA.C5.A1M6.01A",0,0.545434073342178,0.424542850866698,0.030023075791124,0,0,0
"TCGA.DG.A2KK.01A",0,0.594313585157999,0.354344096238064,0.0354323575482935,0.0159099610556429,0,0
"TCGA.HG.A2PA.01A",0,0.701445379301636,0.20081235962987,0.0967421552731391,0,0,0.00100010579535467
"TCGA.VS.A8EH.01A",0,0.503526952430701,0.380144528718686,0.116328518850613,0,0,0
"TCGA.FU.A5XV.01A",0,0.763544071351288,0.235048654553578,0.000116691297581698,0,0,0.00129058279755197
"TCGA.C5.A1MF.01A",0.204170273657735,0.265672019621834,0.0819224511375183,0.0359173285898097,0.409793785627758,0,0.00252414136534499
"TCGA.EX.A449.01A",0,0.730633453877904,0.172354456421948,0.0253021301721588,0.0717099595279893,0,0
"TCGA.C5.A2LX.01A",0.126759582696463,0.379113555740868,0.216070431738371,0.0426398803136757,0.102211345135996,0.122590092494192,0.010615111880435
"TCGA.HM.A3JJ.01A",0.00142032547200331,0.662764457571122,0.317810765508543,0.0161509453824141,0.000200423517014367,0,0.00165308254890292
"TCGA.LP.A4AW.01A",0,0.3158962202782,0.67795771698849,0.00614606273330931,0,0,0
"TCGA.C5.A8XH.01A",0.00109132473862423,0.829263138453502,0.10808753675913,0.0606604586977113,0,0,0.000897541351032521
"TCGA.EK.A2RE.01A",0,0.553159412471968,0.446840587528032,0,0,0,0
"TCGA.EK.A2RC.01A",0.00321761834588964,0.717131439078363,0.234688733124363,0.0429513658324435,0,0,0.00201084361894057
"TCGA.EA.A3HU.01A",0,0.752010286061808,0.122960142187411,0.125029571750781,0,0,0
"TCGA.EK.A2PI.01A",0,0.383357643056168,0.533991871539891,0.0826504854039405,0,0,0
"TCGA.EX.A8YF.01A",0.00310173768759664,0.825872933720712,0.090049201019162,0.0695407803586015,0.00987369513495014,0.00156165207897779,0
"TCGA.C5.A7UC.01A",0,0.609032598110449,0.390305956969747,0.000661444919803102,0,0,0
"TCGA.EA.A3QE.01A",0,0.881720508593771,0.0456966651749028,0.0679557678758562,0,0.00346511192011046,0.00116194643535923
"TCGA.EA.A4BA.01A",0,0.420051945816749,0.487652003562735,0.00949190943794522,0.0820359180894529,0,0.000768223093117796
"TCGA.EA.A411.01A",0,0.41377031207288,0.553997493067004,0.032232194860116,0,0,0
"TCGA.IR.A3LL.01A",0,0.744287137841727,0.0184737938737961,0.181618254473319,0.0497434742329605,0,0.00587733957819753
"TCGA.IR.A3LF.01A",0.000921667634952319,0.620725143640431,0.357412636014604,0.0175791870564875,0.000259521712620917,0,0.00310184394090493
"TCGA.EK.A3GJ.01A",0.00538328006745589,0.885525323195091,0.0437955673970059,0.0582607871051791,0.00703504223526753,0,0
"TCGA.ZJ.AAXI.01A",0,0.74347685335224,0.183083993782393,0.0107990858437519,0.0626400670216148,0,0
"TCGA.C5.A1BI.01B",0,0.679925317496909,0.249738339525993,0.0703363429770977,0,0,0
"TCGA.EK.A3GK.01A",0,0.798343449111935,0.155820287622555,0.0458362632655098,0,0,0
"TCGA.EA.A3HT.01A",0,0.612716484578299,0.368439672980372,0.0188438424413287,0,0,0
"TCGA.C5.A2M1.01A",0.00350727605826041,0.737281412612644,0.115536380910886,0.0850962956481036,0.0571522986425488,0.00132336771017209,0.00010296841738505
"TCGA.VS.AA62.01A",0.00257851338179048,0.86536782874711,0.0707481778060655,0.058903700011937,0,0.00125784400571517,0.00114393604738158
"TCGA.JW.A5VL.01A",0.00314775217523214,0.737332834713392,0.180149050475452,0.0793703626359235,0,0,0
"TCGA.EK.A2IR.01A",0.000757263260197308,0.359350221663537,0.461011994400098,0.0141254901590872,0.16475503051708,0,0
"TCGA.VS.A9UD.01A",0,0.70419194317376,0.0279466688211783,0.25134815218389,0.0157561923437618,0,0.000757043477410156
"TCGA.VS.A9UR.01A",0,0.75205575301849,0.24794424698151,0,0,0,0
"TCGA.FU.A3EO.01A",0.00210338466859912,0.45899034039202,0.204918131769345,0.0824639670398822,0.250303509940221,0,0.00122066618993295
"TCGA.JX.A3Q0.01A",0,0.802214097166459,0.0992519475724004,0.0985339552611411,0,0,0
"TCGA.VS.A8QH.01A",0.00349266295722506,0.656460493842917,0.203893842887582,0.0081297918124492,0.1280142779098,0,8.93059002664306e-06
"TCGA.EK.A2RM.01A",0,0.315786617388955,0.486247318612047,0.197966063998998,0,0,0
"TCGA.ZJ.AAX8.01A",0,0.725729114719203,0.235521799757192,0.036046357136787,0,0,0.00270272838681836
"TCGA.DR.A0ZL.01A",0,0.595014863372736,0.332703367504525,0.0119241787712518,0.060357590351488,0,0
"TCGA.2W.A8YY.01A",0,0.327679567132263,0.495612907778735,0.105990510215368,0.0707170148736334,0,0
"TCGA.BI.A0VR.01A",0.00206457119706906,0.812259539424711,0.13959917869524,0.0445055630108908,0,0,0.00157114767208951
"TCGA.FU.A23L.01A",0.00318720005202343,0.652838180859347,0.299443866908141,0.0407553239020145,0.00367045222460386,0,0.000104976053870876
"TCGA.VS.A8EJ.01A",0,0.608123388360888,0.206338214210369,0.0265410969289225,0.15899730049982,0,0
"TCGA.DS.A0VK.01A",0,0.511781933749347,0.400962198789728,0.0872558674609259,0,0,0
"TCGA.LP.A4AX.01A",0.0031723003625471,0.634653252585838,0.300439434452707,0.0599138161301833,0,0.00182119646872486,0
"TCGA.EK.A2RJ.01A",0.00308483258622388,0.899642982832461,0.0389679613306987,0.0564731366257107,0,0.00157495858470458,0.00025612804020152
"TCGA.JW.A852.01A",0.00253666291963162,0.517238563658363,0.112973163048896,0.132924542769817,0.233525288224354,0,0.000801779378938148
"TCGA.Q1.A73S.01A",0,0.322509055366034,0.47998623972155,0.0168686523545356,0.18063605255788,0,0
"TCGA.ZJ.AAXU.01A",0.102241096218712,0.658333323064467,0.117497381214529,0.0243978125677107,0.0928610002914688,0.00355061738102805,0.0011187692620845
"TCGA.C5.A1MI.01A",0.00449028604786838,0.503866909038281,0.478100922819244,0.0131378406161534,0,0,0.000404041478453328
"TCGA.VS.A8QA.01A",0,0.928638957556391,0.0381120232953105,0.0286115184075368,0,0.00463750074076161,0
"TCGA.EA.A5ZD.01A",0,0.847608741569534,0.0900494288323565,0.0613121089800091,0,0.000357853596214925,0.000671867021885866
"TCGA.XS.A8TJ.01A",0,0.794007031347812,0.168587361617019,0.0361294223130891,0,0,0.00127618472208046
"TCGA.C5.A7CO.01A",0,0.656609981558081,0.204703509615725,0.0441294895283627,0.0945570192978315,0,0
"TCGA.MY.A5BF.01A",0,0.861998978172741,0.0969417759734394,0.0410592458538199,0,0,0
"TCGA.C5.A1BL.01A",0.0028047632009414,0.818589508471358,0.0885154906920615,0.0892920228345956,0.000754911944600595,0,4.33028564429253e-05
"TCGA.C5.A1M5.01A",0.00472432083042391,0.80341516383761,0.170558502066911,0.0190281211342823,0,0,0.00227389213077233
"TCGA.DS.A5RQ.01A",0,0.755870612463819,0.187424891070337,0.0567044964658439,0,0,0
"TCGA.JW.A5VG.01A",0.00266493382915618,0.85443095339964,0.11545511242411,0.0243129868907983,0,0.00152137692174256,0.00161463653455277
"TCGA.WL.A834.01A",0,0.482506415300288,0.4601437756324,0.0142193685724048,0.0431304404949079,0,0
"TCGA.DS.A1OD.01A",0,0.681469389785145,0.166085764910636,0.0841414243797896,0,0.0675318954547244,0.000771525469705084
"TCGA.Q1.A5R1.01A",0,0.655141103711473,0.310919975226094,0.0339389210624328,0,0,0
"TCGA.ZJ.AAXF.01A",0.002439410001967,0.595242939552295,0.380722135261973,0.0195855301464675,0,0,0.00200998503729748
"TCGA.LP.A5U2.01A",0.300842369774833,0.203766070778273,0.206851141115093,0.0236218309540368,0.264918587377764,0,0
"TCGA.C5.A7CK.01A",0,0.343698488893181,0.64364281007137,0.0126587010354483,0,0,0
"TCGA.ZJ.AB0H.01A",0,0.721061281477187,0.194012369431884,0.0849263490909295,0,0,0
"TCGA.EK.A2R9.01A",0.102548732795909,0.585884261925952,0.264788966360423,0.0264632995518965,0.0112602328339202,0.00901318477998204,4.13217519178512e-05
"TCGA.VS.A954.01A",0.0601518036291806,0.390066988801642,0.383036934731989,0.0275232928399395,0.13922097999725,0,0
"TCGA.Q1.A73O.01A",0.00428866492724226,0.872399595672523,0.105731286310079,0.0163181264444988,0,0,0.00126232664565698
"TCGA.VS.A9U6.01A",0.00345244389288012,0.692277166209456,0.230085400364357,0.0733677918023238,0,0,0.000817197730982193
"TCGA.EK.A3GM.01A",0,0.827902541183364,0.111864363870019,0.0568608599175452,0,0.00276682409707867,0.000605410931992975
"TCGA.C5.A7CJ.01A",0.00206239688737966,0.663345059303983,0.307861554826267,0.0239382497055461,0,0.00158091961760593,0.00121181965921844
"TCGA.FU.A3WB.01A",0.00367693581733004,0.477043944893367,0.518352130069016,0,0.000901692181380561,0,2.52970389069574e-05
"TCGA.VS.A9V1.01A",0.00299451439467496,0.729089655097405,0.216588889611784,0.0212733611058054,0.0291200749424013,0.000933504847929284,0
"TCGA.C5.A1ML.01A",0,0.703237366899417,0.296762633100583,0,0,0,0
"TCGA.IR.A3LB.01A",0,0.620744896598864,0.350502421008041,0.0287526823930951,0,0,0
"TCGA.VS.A9U7.01A",0,0.804910224463597,0.119218694789977,0.0598650518861761,0.0159085609441946,0,9.74679160556061e-05
"TCGA.EK.A2RK.01A",0.010467255836906,0.628674324332713,0.107349723530276,0.0472016176984155,0.20630707860169,0,0
"TCGA.C5.A905.01A",0.00229764205025564,0.661190063181782,0.234508050521752,0.0231797293980021,0.0772504519241467,0.00142741589531033,0.000146647028750818
"TCGA.C5.A3HL.01A",0,0.750591967509379,0.248659659249563,0.000430279776972164,0,0,0.000318093464085097
"TCGA.C5.A1MH.01A",0,0.755697944223326,0.138886168688162,0.105415887088512,0,0,0
"TCGA.Q1.A5R2.01A",0,0.61412056873604,0.200809175507638,0.10594161848473,0.0783544245642789,0,0.00077421270731399
"TCGA.FU.A3HY.01A",0,0.717053506154242,0.26180898023229,0.00195596297439465,0.0191815506390733,0,0
"TCGA.EA.A439.01A",0,0.477732307125669,0.500896152585114,0.0213715402892171,0,0,0
"TCGA.C5.A7UH.01A",0,0.45755298479886,0.471486654630288,0.0300759120285924,0.0408844485422597,0,0
"TCGA.C5.A1M7.01A",0.00447751544292462,0.731202501854533,0.237694709508169,0.0255124763928699,0,0,0.00111279680150335
"TCGA.EA.A50E.01A",0,0.457572867033892,0.493556258642611,0.0484211412464258,0.000449733077071734,0,0
"TCGA.VS.A9V5.01A",0.00322831915034045,0.714455292062392,0.276911649244166,0.00381989363232034,0,0,0.00158484591078144
