"","B Cells","Endothelial Cells","Fibroblasts","Macrophages","Cancer Cells","T Cells","Mast Cells"
"TCGA.32.2616.01A",0,0.340228798975648,0.522294063717079,0.137477137307274,0,0,0
"TCGA.32.1980.01A",0,0.411725941341999,0.386473972288943,0.201800086369058,0,0,0
"TCGA.28.2514.01A",0,0.528838773023966,0.460997717522241,0.0101635094537936,0,0,0
"TCGA.06.0644.01A",0,0.312960791883002,0.592692181601224,0.0943470265157739,0,0,0
"TCGA.06.1804.01A",0,0.46838597458616,0.510054983970596,0.0215590414432438,0,0,0
"TCGA.41.2571.01A",0,0.199514568145471,0.680632059746595,0.119853372107934,0,0,0
"TCGA.19.2619.01A",0,0.439072580699736,0.558549111860771,0.00237830743949339,0,0,0
"TCGA.27.1837.01A",0,0.589600361754,0.359017301106725,0.051382337139275,0,0,0
"TCGA.27.1832.01A",0,0.48649992795769,0.426917588126113,0.0862203633447509,0.000362120571446337,0,0
"TCGA.06.0686.01A",0,0.317667493193139,0.628145788710227,0.0541867180966346,0,0,0
"TCGA.06.5856.01A",0,0.438258398170367,0.483237781163033,0.0785038206665998,0,0,0
"TCGA.28.1753.01A",0,0.285985317235028,0.39883959011161,0.315175092653362,0,0,0
"TCGA.28.5218.01A",0,0.417087815377543,0.509607397021524,0.0733047876009326,0,0,0
"TCGA.32.1970.01A",0,0.481429674563482,0.50817929169747,0.0103910337390485,0,0,0
"TCGA.28.5204.01A",0,0.649525818414821,0.32931903664487,0.0211551449403087,0,0,0
"TCGA.12.3653.01A",0,0.822209186984226,0.152759216997449,0.0250315960183253,0,0,0
"TCGA.06.0187.01A",0,0.410131726274836,0.5129350679833,0.0769332057418634,0,0,0
"TCGA.19.2624.01A",0,0.400349712197425,0.571688401034583,0.0279618867679925,0,0,0
"TCGA.12.3652.01A",0,0.262250243798255,0.681556843951944,0.0470352152804893,0.00915769696931108,0,0
"TCGA.12.5299.01A",0,0.39967711431045,0.487582219744746,0.112204578568945,0.0005360873758586,0,0
"TCGA.06.0749.01A",0,0.33178968730598,0.410823583937401,0.257386728756619,0,0,0
"TCGA.06.0158.01A",0,0.436551275789313,0.49880083240216,0.0646478918085268,0,0,0
"TCGA.19.1390.01A",0,0.315369045079161,0.640261233795895,0.0443697211249444,0,0,0
"TCGA.28.2510.01A",0,0.311060456884809,0.630336326309832,0.058603216805359,0,0,0
"TCGA.32.2615.01A",0,0.457031916154968,0.452236251042083,0.090731832802949,0,0,0
"TCGA.76.4929.01A",0,0.413760858794198,0.471810446020466,0.114428695185335,0,0,0
"TCGA.06.0178.01A",0,0.218826852838302,0.433118622300668,0.191636040214201,0.156418484646829,0,0
"TCGA.41.5651.01A",0,0.371250702479645,0.619059322698192,0.00968997482216393,0,0,0
"TCGA.14.2554.01A",0.000758107933696932,0.422702988661642,0.466267370120674,0.110271533283987,0,0,0
"TCGA.06.2559.01A",0,0.415539848642278,0.534329111977124,0.0501310393805979,0,0,0
"TCGA.14.0787.01A",0,0.309055595692337,0.539910049185413,0.151034355122251,0,0,0
"TCGA.12.0618.01A",0,0.308740459442986,0.651637818289855,0.0396217222671597,0,0,0
"TCGA.14.1034.01A",0,0.42851188645923,0.505395819211356,0.0660922943294144,0,0,0
"TCGA.06.0743.01A",0,0.403752496154443,0.512687857921038,0.0835596459245189,0,0,0
"TCGA.16.1045.01B",0,0.493747035085872,0.281369370921891,0.224883593992238,0,0,0
"TCGA.76.4927.01A",0,0.344957734152039,0.53839299253049,0.116649273317471,0,0,0
"TCGA.32.2638.01A",0,0.61565403819317,0.307976256400866,0.0763697054059645,0,0,0
"TCGA.14.1825.01A",0,0.309014954839749,0.652734989576021,0.037967876741222,0.000282178843007517,0,0
"TCGA.32.2632.01A",0.000615626872108004,0.51766111632353,0.371537218133067,0.110186038671295,0,0,0
"TCGA.14.1823.01A",0.00123498660291335,0.470440846701057,0.383397552837657,0.144266282348962,0.000660331509409993,0,0
"TCGA.12.3650.01A",0,0.285969484046332,0.616864261617826,0.0971662543358422,0,0,0
"TCGA.06.0211.01A",0,0.363368836042051,0.543860935135212,0.092770228822737,0,0,0
"TCGA.06.0238.01A",0.00254937856287675,0.37487915213894,0.479072516297736,0.143448237977973,0,0,5.07150224743334e-05
"TCGA.06.0184.01A",0,0.352005317762384,0.474556323928583,0.173438358309033,0,0,0
"TCGA.76.4925.01A",0,0.350183859930777,0.609322353140522,0.0404937869287013,0,0,0
"TCGA.12.0616.01A",0,0.443765428537148,0.493022812006247,0.0619166428481445,0.00129511660846028,0,0
"TCGA.26.5132.01A",0,0.357274086718425,0.529471429580864,0.11325448370071,0,0,0
"TCGA.02.0055.01A",0,0.256197474768914,0.627577071669945,0.116225453561142,0,0,0
"TCGA.06.0132.01A",0,0.461567742367217,0.236628963752349,0.301803293880434,0,0,0
"TCGA.02.2486.01A",0,0.401789611883767,0.284617460007451,0.313592928108783,0,0,0
"TCGA.19.1787.01B",0,0.526558237985545,0.377892813563772,0.0955489484506829,0,0,0
"TCGA.06.0211.01B",0,0.425413329002878,0.551011430716776,0.023575240280345,0,0,0
"TCGA.06.5859.01A",0,0.60291430498018,0.326347292029125,0.0707384029906952,0,0,0
"TCGA.06.0139.01A",0,0.300231827995021,0.140636143971728,0.55913202803325,0,0,0
"TCGA.06.0157.01A",0,0.498729583210235,0.423708002863801,0.077562413925964,0,0,0
"TCGA.12.1597.01B",0,0.284893420687746,0.596472359137932,0.118634220174323,0,0,0
