"","B Cells","Endothelial Cells","Fibroblasts","Macrophages","Cancer Cells","T Cells","Mast Cells"
"TCGA.BP.4766.01A",0,0.652269556711273,0.298401162106313,0.0485960266493706,0,0,0.000733254533043287
"TCGA.A3.3352.01A",0,0.810234345751559,0.150566756473027,0.039198897775415,0,0,0
"TCGA.G6.A8L7.01A",0,0.495248260163898,0.358127868732175,0.143945495551079,0.00267837555284843,0,0
"TCGA.A3.A6NN.01A",0,0.76189070384093,0.211285843069827,0.025922384758124,0,0,0.000901068331118562
"TCGA.T7.A92I.01A",0,0.56569592314447,0.378275913244214,0.0560281636113167,0,0,0
"TCGA.B0.5713.01A",0,0.850668455599719,0.135244876369071,0.0140866680312102,0,0,0
"TCGA.CZ.4860.01A",0.00469183055526421,0.327952325009018,0.385660746775882,0.198043113000425,0.0836519846594116,0,0
"TCGA.A3.3351.01A",0,0.860293511353921,0.108230323478816,0.0314761651672633,0,0,0
"TCGA.B8.4148.01A",0.000131297682860144,0.907315467936396,0.0664134815417202,0.0255686169707476,0,0,0.000571135868276024
"TCGA.BP.4345.01A",0,0.428907558093511,0.503995857478667,0.0668504348132386,0,0,0.000246149614583301
"TCGA.BP.5010.01A",0,0.435564960236909,0.541891701398518,0.0225433383645725,0,0,0
"TCGA.BP.4325.01A",0,0.859259164680394,0.099837103993412,0.0408933818309646,0,0,1.03494952288483e-05
"TCGA.B0.5102.01A",0,0.658015128871954,0.278495843828597,0.0634890272994484,0,0,0
"TCGA.BP.5185.01A",0,0.579403274870304,0.318897420456213,0.086500705500432,0.0146412259556501,0,0.000557373217401089
"TCGA.CZ.5986.01A",0.000104213445415509,0.672672972512982,0.312077934595396,0.014290230106226,0,0,0.000854649339981101
"TCGA.CW.5590.01A",0,0.712444142851874,0.251080672161061,0.0357373263595509,0,0,0.000737858627514112
"TCGA.CJ.4904.01A",0,0.816908983492508,0.153470034556344,0.0293716158125156,0,0,0.000249366138632561
"TCGA.BP.4987.01A",0.000495646880574563,0.730284503338486,0.245681859352566,0.0228476583273009,0,0,0.00069033210107252
"TCGA.B0.4849.01A",0,0.697957664734615,0.291887475756876,0.0101548595085093,0,0,0
"TCGA.BP.4329.01A",0,0.632449386207683,0.322463696308807,0.0447663817314563,0,0,0.000320535752053572
"TCGA.A3.3328.01A",0.000934705040381121,0.825235512706036,0.114101418361629,0.0254755805436017,0.0342527833483523,0,0
"TCGA.CJ.5672.01A",0,0.676456836252813,0.185752400347977,0.137402239498868,0,0,0.000388523900342058
"TCGA.B0.5104.01A",0,0.777460170730494,0.195889575320195,0.0266028533391167,0,0,4.74006101937412e-05
"TCGA.CW.6097.01A",0,0.57337714884726,0.343096892025572,0.0833072053857324,0,0,0.000218753741435914
"TCGA.B0.4700.01A",0,0.523511152308179,0.313209321163717,0.163279526528104,0,0,0
"TCGA.B0.5095.01A",0,0.506637367619265,0.481653937910835,0.0117070625706399,0,0,1.63189925983111e-06
"TCGA.B0.4810.01A",0,0.655744876948833,0.281171709960157,0.06267888485899,0,0,0.000404528232019325
"TCGA.CJ.4901.01A",0,0.736756163083298,0.157809580405412,0.10543425651129,0,0,0
"TCGA.CJ.4643.01A",0,0.725726086574067,0.263484236368027,0.0104131170275905,0,0,0.000376560030315128
"TCGA.B8.A54H.01A",0,0.787781527465737,0.192102760028631,0.0198063543317503,0,0,0.000309358173881367
"TCGA.AK.3429.01A",0.00147673678662498,0.835059440096123,0.103529517366083,0.0592721350945965,0,0,0.00066217065657236
"TCGA.B0.4834.01A",0,0.701246152446165,0.294241716598696,0.00451213095513848,0,0,0
"TCGA.B0.4843.01A",0,0.48417062006823,0.495018227448232,0.0201304102451278,0,0,0.00068074223840986
"TCGA.A3.3382.01A",0,0.67147501452623,0.259430866538897,0.0690941189348724,0,0,0
"TCGA.BP.4338.01A",0,0.47673864691253,0.288574018874153,0.234687334213317,0,0,0
"TCGA.B4.5832.01A",0,0.845610446934363,0.154389553065637,0,0,0,0
"TCGA.CW.6088.01A",0,0.743542271730697,0.255649935432859,0.000272298476082411,0,0,0.000535494360360965
"TCGA.A3.A6NJ.01A",0.000245205514231378,0.871019454194701,0.05203947803417,0.0765315589794104,0,0,0.000164303277487391
"TCGA.B0.5088.01A",0,0.496877244774042,0.344318050376219,0.157862445671926,0,0,0.000942259177812755
"TCGA.A3.3308.01A",0,0.64913454878592,0.32358925383773,0.0272761973763496,0,0,0
"TCGA.CW.5589.01A",0,0.666051322600818,0.279616173423827,0.0538711109844677,0,0,0.00046139299088716
"TCGA.B0.5702.01A",0.00310775908030552,0.409747069492871,0.320800651337507,0.0936822323304158,0.16395775770717,0,0.00870453005173082
"TCGA.BP.4169.01A",0,0.666565768420837,0.307376293134723,0.0249707314265832,0,0,0.00108720701785691
"TCGA.CZ.5468.01A",0,0.566465361608358,0.26126105817854,0.172273580213102,0,0,0
"TCGA.A3.3313.01A",0,0.57493688487761,0.401426867029802,0.0236362480925883,0,0,0
"TCGA.BP.4782.01A",0,0.657491839651002,0.231445424935701,0.111062735413298,0,0,0
