"","B Cells","Endothelial Cells","Fibroblasts","Macrophages","Cancer Cells","T Cells","Mast Cells"
"TCGA.BQ.7044.01A",0,0.493640494948309,0.232823219859276,0.273536285192416,0,0,0
"TCGA.SX.A7SR.01A",0,0.43301896723294,0.417472754756843,0.149508278010217,0,0,0
"TCGA.MH.A854.01A",0,0.431415581795395,0.50677436542426,0.0573793846764959,0.00443066810384876,0,0
"TCGA.B3.8121.01A",0,0.49124632617222,0.248533348185309,0.260017925390648,0,0,0.000202400251823156
"TCGA.2Z.A9JJ.01A",0,0.655851229658225,0.321757696730832,0.0223910736109425,0,0,0
"TCGA.B1.7332.01A",0,0.592958154850823,0.226235608102123,0.180416415948419,0,0,0.000389821098635153
"TCGA.WN.A9G9.01A",0,0.592511473744457,0.0323285024033704,0.375160023852173,0,0,0
"TCGA.A4.8310.01A",0,0.484483432463533,0.414712411810055,0.10052226921141,0.00028188651500084,0,0
"TCGA.2Z.A9JT.01A",0,0.198212775382312,0.153158803091518,0.467439729456317,0.181188692069854,0,0
"TCGA.5P.A9K2.01A",0,0.50393038075206,0.293764033794537,0.179072298688684,0.0224590950290548,0,0.00077419173566396
"TCGA.4A.A93W.01A",0,0.532137664564562,0.432485885132621,0.0346493352073784,8.51197852317659e-05,0,0.000641995310206455
"TCGA.DW.7837.01A",0.00136346951483281,0.567368190137836,0.35597221955029,0.0706119453744546,0.000329550832654818,0,0.00435462458993217
"TCGA.A4.A5DU.01A",0,0.581634634650177,0.325794536313679,0.0733228748772129,0.0192479541589311,0,0
"TCGA.2Z.A9JI.01A",0,0.480293270546405,0.421883292239312,0.0873259673788138,0.0104974698354695,0,0
"TCGA.BQ.7050.01A",0,0.293271797730401,0.546658629448893,0.159850499055084,0.000219073765621448,0,0
"TCGA.BQ.5894.01A",0,0.4933214377873,0.448987881539407,0.0564193593718293,0,0,0.00127132130146373
"TCGA.BQ.5879.01A",0,0.460213485608415,0.338614763475696,0.198328044743486,0,0,0.0028437061724034
"TCGA.AL.3472.01A",0,0.486900968419597,0.471368417775177,0.0406813100312843,0.00104930377394233,0,0
"TCGA.MH.A560.01A",0,0.258929776995126,0.547821026476512,0.16625240115325,0.0269967953751117,0,0
"TCGA.BQ.5891.01A",0,0.465378223849746,0.451428901222572,0.0831928749276815,0,0,0
"TCGA.B9.A5W7.01A",0,0.541437209450383,0.353970510320288,0.102336256866293,0,0,0.00225602336303536
"TCGA.UZ.A9PR.01A",0.00022314902050111,0.602353863006379,0.356909806479677,0.0401391911657775,0,0,0.000373990327665515
"TCGA.B9.A69E.01A",0.00348742819535794,0.549188109146116,0.304343889066028,0.142870621505337,0,0,0.00010995208716144
"TCGA.B3.4104.01A",0.0377526941384691,0.546716043977457,0.336581804918896,0.0029386014256606,0.0758165635520049,0,0.000194291987512316
"TCGA.SX.A71R.01A",0,0.602633919484653,0.320077704867571,0.0772883756477764,0,0,0
"TCGA.MH.A55Z.01A",0,0.606421869962646,0.312955515859724,0.0643441478319896,0.0151653309539997,0,0.00111313539164143
"TCGA.UZ.A9PO.01A",0,0.333873326275792,0.26849420055486,0.397632473169348,0,0,0
"TCGA.G7.7501.01A",0,0.358697133772318,0.430889845113147,0.210413021114535,0,0,0
"TCGA.DW.7836.01A",0.0011003664774875,0.498408123048575,0.492526542931091,0.00650914615884692,0.00025010086081799,0,0.00120572052318131
"TCGA.HE.A5NI.01A",0,0.492835023780752,0.263388094104046,0.242901390524296,0,0,0.000875491590906469
"TCGA.G7.A8LE.01A",0.000489878401472867,0.434828007148193,0.561065698655102,0.0019897523769855,0,0,0.0016266634182459
"TCGA.Y8.A895.01A",0,0.589681401446681,0.354505026712142,0.0558135718411772,0,0,0
"TCGA.UZ.A9PQ.01A",0,0.407238631741433,0.566581448240021,0.0246440402886191,0.00153587972992678,0,0
"TCGA.BQ.5884.01A",0,0.208005307379115,0.466167537937767,0.325827154683119,0,0,0
"TCGA.BQ.5893.01A",0,0.560081694204613,0.34397599191845,0.0927671843486952,0.00316900606462555,0,6.12346361615651e-06
"TCGA.UZ.A9PV.01A",0,0.560906712588256,0.422108559450832,0.0169847279609117,0,0,0
"TCGA.B9.4113.01A",0,0.584678322022466,0.273986604432595,0.141272574928136,0,0,6.24986168036718e-05
"TCGA.B3.3926.01A",0,0.57685870151032,0.414124243846752,0.00901705464292835,0,0,0
"TCGA.2Z.A9J3.01A",0,0.693586789962599,0.292884709757191,0.0129956774642202,0.000532822815990199,0,0
