"","Monocytes","DC","Fibroblasts","Cancer Cells","CD4 T","NK","CD8 T"
"TCGA.KL.8325.01A",0.0511165831759452,0.0181494917944897,0.223821592897245,0.373427168082197,0,0.333485164050123,0
"TCGA.KO.8411.01A",0.00582459700218393,0.172632062163004,0.137694130329523,0.38091774735364,0,0.196987093594904,0.105944369556744
"TCGA.KL.8331.01A",0.0406689178081965,0.0809002818739333,0.0704620565666674,0.524768480412812,0.0121556807639711,0.118652702869291,0.152391879705129
"TCGA.KO.8409.01A",0.0305481572708076,0.0316968935491723,0.0043811964762827,0.769614280965746,0.150519804795209,0,0.0132396669427824
"TCGA.KM.8439.01A",0.121971772538186,0.0504222499009093,0.121019818610277,0.706586158950627,0,0,0
"TCGA.KN.8423.01A",0.038312513316716,0.0946583488893481,0.200582007184748,0.535369603855294,0,0.128415879012574,0.0026616477413205
"TCGA.KL.8339.01A",0.0675476077827157,0.149572476922712,0.203518644374403,0.202395020085376,0.178219049983246,0.0551360177429256,0.143611183108621
"TCGA.KN.8434.01A",0.0862645904245128,0.0143233799453989,0.129764627916027,0.548214535818899,0,0.188397851676219,0.0330350142189431
"TCGA.KL.8342.01A",0.0547074533006647,0.0563774203507316,0.121676666402819,0.622823869328295,0,0.134393896718823,0.0100206938986667
"TCGA.KN.8428.01A",0.00405711188981503,0.136269885621487,0.149272693033355,0.319326108308039,0.134404303661784,0.0770632893903648,0.179606608095154
"TCGA.KO.8416.01A",0.0248419900372638,0.00122571380873337,0.0415412614337432,0.932324308252326,0,0,6.67264679336156e-05
"TCGA.KL.8344.01A",0.0308779452652922,0.00275341014581343,0.293984171993518,0.215392915248483,0,0.359297867137804,0.0976936902090886
"TCGA.KM.8441.01A",0.210501784948425,0,0.192917337156387,0.596580877895188,0,0,0
"TCGA.KM.8442.01A",0.129232376671508,0.0383461094962814,0.236228989981536,0.56416431779202,0,0.0304470106088105,0.00158119544984335
"TCGA.KL.8346.01A",0.0171879963068947,0.00641925081348083,0.102659854390612,0.790677802154282,0.00208563398618636,0.04119359517874,0.0397758671698048
