"","Monocytes","DC","Fibroblasts","Cancer Cells","CD4 T","NK","CD8 T"
"TCGA.94.7943.01A",0.108075215847898,0.18869775913875,0.279891195885371,0.205710065877045,0.0112059789053814,0,0.206419784345554
"TCGA.68.8251.01A",0.168445687852173,0.357319761912764,0.387915942414376,0,0,0,0.0863186078206868
"TCGA.33.A5GW.01A",0.0446901899307137,0.113787511021287,0.335288455712349,0.476468908318693,0,0,0.0297649350169575
"TCGA.85.8070.01A",0.0136754515231077,0.737612596809251,0.243879735201708,0,0,0,0.00483221646593422
"TCGA.85.8479.01A",0.182652361621614,0.104903102392061,0.338855881175092,0.26734769762069,0.0834842160158875,0,0.0227567411746553
"TCGA.22.5482.01A",0.156240569696953,0.304495558903454,0.539263871399593,0,0,0,0
"TCGA.21.1077.01A",0.0933601020307905,0.365550910644528,0.524076780961367,0,0.00226981603909921,1.25071734216251e-05,0.0147298831507933
"TCGA.43.6773.01A",0.373882182032913,0.24630622158888,0.379811596378207,0,0,0,0
"TCGA.34.8455.01A",0.183190117272341,0.17036527650179,0.62050258607476,0,0,0,0.0259420201511087
"TCGA.85.7950.01A",0.093980588215732,0.297810748576087,0.55395760769986,0,0,0.0532361045096239,0.00101495099869785
"TCGA.60.2715.01A",0.321476173691155,0.156251659334068,0.432787947273751,7.4490813874074e-05,0,0.0569554874044373,0.0324542414827142
"TCGA.85.A5B5.01A",0.129798473628855,0.239960625970571,0.350252783865946,0.129603381398235,0,0.0468784575673754,0.103506277569018
"TCGA.33.4583.01A",0.0786370801432826,0.485722354771705,0.237540682589483,0,0.0286250543472202,0,0.169474828148309
"TCGA.60.2725.01A",0.267423303830372,0.339582382694901,0.392994313474727,0,0,0,0
"TCGA.85.8072.01A",0.275293062230178,0.172025915197747,0.369262003389115,0.0716878543456068,0.0023312260487931,0.0144426650445377,0.0949572737440221
"TCGA.22.4601.01A",0.229297365042923,0.04226254630469,0.369385517386766,0.220306137944303,0,0.114458446528215,0.0242899867931023
"TCGA.66.2781.01A",0.07510306240122,0.44482427563393,0.398317087390554,0,0.00454385168205142,0,0.077211722892245
"TCGA.22.0940.01A",0.255908090283173,0.395193110909835,0.294386436803053,0,0,0,0.0545123620039388
"TCGA.43.6143.01A",0.0733934169662248,0.330208573700093,0.587185635722322,0,0,0.00494120693255644,0.00427116667880342
"TCGA.39.5021.01A",0.201788575842033,0.386783734281013,0.411427689876954,0,0,0,0
"TCGA.22.1012.01A",0.206536672238969,0.206574053296551,0.338555163025571,0.0635245124189873,0.109252581571755,0,0.0755570174481669
"TCGA.33.AASL.01A",0.0437320659911005,0.0868773444571668,0.277850723452166,0.224724909756788,0.168764758388965,0.0150041626468812,0.183046035306932
"TCGA.33.4533.01A",0.0552102360789436,0.385993952987674,0.513359077332331,0,0,0,0.0454367336010515
"TCGA.43.6647.01A",0.26725667059141,0.000501259299537214,0.732242070109052,0,0,0,0
"TCGA.77.6845.01A",0.110819284993206,0.16050567289815,0.325119824277928,0.19227123290289,0.12740497890125,0,0.0838790060265759
"TCGA.56.8504.01A",0.242488381477565,0.0871991851608689,0.412229507637601,0.103622161887445,0.00378989887202046,0.00814596924054748,0.142524895723952
"TCGA.56.8629.01A",0.144492878250699,0.129138825614408,0.525404975010919,0.153750154978719,0,0,0.0472131661452548
"TCGA.63.A5MY.01A",0.0160532819467285,0.197877570263221,0.204229463241819,0.25521853086677,0.167062320986038,0,0.159558832695423
"TCGA.37.4130.01A",0.0561931613606353,0.597828612014233,0.0819805223204231,0,0.263997704304709,0,0
"TCGA.22.1002.01A",0.174972567027362,0.0875544156491511,0.465033609771824,0.170131023953545,0,0.0338886647601592,0.0684197188379581
"TCGA.18.3410.01A",0.159450984399639,0.58409444644206,0.229629391348317,0,0,0,0.0268251778099839
"TCGA.39.5011.01A",0.335033018556376,0.39970821318804,0.261537685531101,0,0.00059084303123537,0,0.00313023969324703
"TCGA.56.7580.01A",0.0253773215066955,0.156036502637456,0.319608627847228,0.174887022633581,0.172955664822838,0,0.151134860552201
"TCGA.98.8023.01A",0.13341295107799,0.266897707933039,0.367193834274261,0,0.00292000609855034,0.0417571994682389,0.187818301147921
"TCGA.33.4586.01A",0.203847732143115,0.290975515181605,0.504675151260877,0,0,0,0.00050160141440229
"TCGA.58.8388.01A",0.233830015199296,0.149058491217067,0.491682903177361,0,0,0.109380675554485,0.0160479148517906
"TCGA.77.A5G3.01A",0.117047971836064,0.226773648866434,0.5643348149203,0,0,0,0.0918435643772026
"TCGA.85.8071.01A",0.0118634646983057,0.248482178776689,0.636165380790183,0,0,0.0614028566181639,0.0420861191166583
"TCGA.33.A4WN.01A",0.244191838835644,0.277082102769812,0.432254364292974,0,0,0,0.0464716941015705
"TCGA.77.7141.01A",0.102485452499664,0.259594554817845,0.392520518516833,0.110797770310166,0,0,0.134601703855491
"TCGA.60.2716.01A",0.01101142900077,0.315943988258847,0.155262016384679,0.0034263231000898,0.481114604554019,0,0.033241638701595
"TCGA.85.7844.01A",0.262309877906453,0.0355836505591995,0.702106471534348,0,0,0,0
"TCGA.98.A53H.01A",0.204712721691376,0.15580043438427,0.514062711903761,0,0,0.117250337058047,0.0081737949625457
"TCGA.37.A5EM.01A",0.299574942229126,0.0708910156700041,0.62953404210087,0,0,0,0
"TCGA.63.A5MU.01A",0.0251573872481596,0.452045775728154,0.280757794814712,0,0.108242474944044,0,0.13379656726493
"TCGA.39.5016.01A",0.0609693434011694,0.606758564951412,0.235570808656805,0,0.0967012829906143,0,0
"TCGA.33.4582.01A",0.0805427882306525,0.286495217462033,0.278543985240925,0.243224694972564,0.00792953092806296,0,0.103263783165763
"TCGA.85.8666.01A",0.40091975594444,0.00298184840178863,0.596098395653772,0,0,0,0
"TCGA.66.2791.01A",0.191735766354079,0.366409786945759,0.437139506327638,0,0,0.0021737251272974,0.0025412152452274
"TCGA.6A.AB49.01A",0.181685951577573,0,0.401079704416775,0.250412193385874,0,0,0.166822150619777
"TCGA.66.2782.01A",0.214882859351375,0.191237788260921,0.40788640345369,0,0.0811715690556652,0.000205497487475212,0.104615882390874
"TCGA.39.5036.01A",0.0749169592523637,0.568969289581006,0.306396337993312,0,0.0194995490718911,0,0.0302178641014275
"TCGA.NK.A5CX.01A",0.220526982835413,0.227374595775433,0.473899336034908,0,0.000951032549570747,0,0.0772480528046751
"TCGA.77.8154.01A",0.026057518046182,0.187914886882249,0.440563862918709,0.239814814459644,0,0,0.105648917693215
"TCGA.37.4132.01A",0.0675630289788652,0.49391040942883,0.191297507788716,0,0.0810538507919683,0,0.16617520301162
"TCGA.98.8020.01A",0.381936527067784,0.0779768453967284,0.540086627535488,0,0,0,0
"TCGA.56.A5DS.01A",0.134855336923704,0.0626310944681867,0.359637803358519,0.314802104288054,0,0.128073660961537,0
"TCGA.60.2707.01A",0.379652713251215,0,0.620347286748785,0,0,0,0
"TCGA.66.2734.01A",0.427848017534647,0.0830761496981929,0.48907583276716,0,0,0,0
