"","T Cells","Fibroblasts","Macrophages","Cancer Cells","B Cells","Endothelial Cells","Mast Cells","DC"
"TCGA.C8.A278.01A",0.00253261076142368,0.440876884050072,0.120442717325196,0.143027506035072,0,0.291899298583438,0.000537737215066896,0.000683246029731152
"TCGA.A7.A425.01A",0,0.429143919098092,0.0801096234930892,0.16812131212203,0,0.32124339718633,0.000423022622518046,0.000958725477940559
"TCGA.E2.A15H.01A",0,0.495967266724435,0.0148886726154637,0.283271971226512,0,0.204993835526042,0.000223873408804525,0.000654380498742428
"TCGA.A8.A06N.01A",0.000633464754660173,0.00038386007816204,0.0141868030007445,0.585438891274237,0.000452321148737824,0.397711721115386,0.00119293862807231,0
"TCGA.E2.A570.01A",0,0.71405362740844,0.0134977733947564,0.137062026858603,0,0.134783106191571,9.11043706887559e-05,0.000512361775940874
"TCGA.BH.A1FL.01A",0,0.326204326758456,0.0105824163951065,0.3454841323791,0,0.308505500869268,0.00922362359806923,0
"TCGA.E2.A56Z.01A",0.00211992021309763,0.220368205685014,0.0187567230704423,0.449319844935078,0,0.308965951303084,0.00046935479328338,0
"TCGA.E9.A1RI.01A",0,0.79752552587011,0.0227835157957656,0.0355938856954885,0,0.143427025626317,0.000152408760638016,0.000517638251680355
"TCGA.BH.A0DP.01A",0,0.612671741377155,0.0397164104912991,0.124054540308563,0,0.21100070999425,0.000752389190854273,0.011804208637879
"TCGA.AR.A0U3.01A",0,0.183316626475297,0.0289997155473486,0.380757484945031,0.0012416144156024,0.403992288814385,0.00158597071860052,0.000106299083735547
"TCGA.BH.A18L.01A",0.00148374432435063,0.0539185478527764,0.0178032209854766,0.487050228021448,0,0.437456284459874,0.0022879743560745,0
"TCGA.A7.A3J1.01A",0.000754921260567513,0.451141834323532,0.0940890799798185,0.0477992392494875,0,0.404116134785479,0.00193229968848809,0.000166490712627828
"TCGA.AC.A6IW.01A",0.0115886092988816,0.0362973838824757,0.232092269610766,0.424314951125245,0,0.25471089195387,0,0.0409958941287612
"TCGA.AC.A3YI.01A",0,0.676072154396562,0.0258033789304585,0.0570023933465928,0,0.240158307549456,0,0.000963765776930812
"TCGA.D8.A1XG.01A",0,0.417136658641338,0.00558456064266291,0.252168327642637,0,0.324840032040479,0.000270421032882716,0
"TCGA.A8.A082.01A",0,0.420547581079064,0.0628129198489629,0.199009271153461,0,0.316126740368946,0.000292094907182149,0.00121139264238344
"TCGA.OL.A5RU.01A",0,0.186164672509172,0.0669218514305006,0.351245554200483,0,0.39076241570639,0.00490550615345472,0
"TCGA.BH.A0HA.01A",0.000227099385898997,0.650768585287113,0.0375988019033434,0.0721533655675497,0,0.234797609898552,0,0.00445453795754291
"TCGA.A2.A3XS.01A",0.00167494482683186,0.301226003359521,0.0279099593808231,0.385369856853843,8.75483350877933e-05,0.283096820053313,0.000634867190580989,0
"TCGA.A2.A0ES.01A",0,0.323830775623372,0.01266861589358,0.189575981363375,0,0.473039860928952,0.000884766190720769,0
