"","cellFractions.B.Cells","cellFractions.Endothelial.Cells","cellFractions.Fibroblasts","cellFractions.Macrophages","cellFractions.NK","cellFractions.T.Cells","cellFractions.otherCells"
"BT1160",3.61286700842875e-08,0.012819074067902,0.000534499256359979,0.0019980213271108,8.39259375372406e-06,0.000732065870527067,0.983907910755676
"BT1187",6.06950070810455e-08,2.709206765053e-05,1.96813356067109e-05,0.529029896725427,0.0217757303276342,6.44601937638944e-07,0.449146894246737
"BT749",0.00141282385278736,0.00504371303308747,0.00455900776845029,0.00115589974609059,7.96504324539952e-09,0.00344767939614541,0.984380868238396
"BT771",1.22863870394338e-09,0.0101249041144824,0.00875741583997309,0.0137659141084607,9.31385493145298e-07,7.01181986259599e-09,0.967350826311132
"BT786",0.000622427672697967,0.00161385642972761,0.00335207469172608,0.0054997293277371,3.32592061112842e-08,0.00147383981423743,0.987438038804668
"BT830",1.514629600985e-08,0.00227532621275925,0.0558434615035278,0.00197876220385346,2.20358955299187e-08,7.40662394206211e-08,0.939902338831429
"BT85",0.00125326210061885,0.00306410661991273,0.00112458012136173,0.00138599018105931,0.000208811674443234,0.000654435735137472,0.992308813567467
"BT920",1.01528221563308e-08,0.0113714906487688,0.0206118037069336,0.020046633978031,6.9369474348513e-09,3.61081915157911e-07,0.947969693494582
"MGH100",3.77615037957406e-09,2.81428570367187e-05,0.00966269418661663,0.00200436348599098,0.00172016155300728,2.1877595588751e-09,0.986584631953438
"MGH101",1.27173434241517e-07,0.00419501397288704,2.45685598740128e-07,0.0990312823426921,8.09853182434243e-08,4.53790781864278e-07,0.896772796049288
"MGH102",3.40769670792493e-08,1.11775494912297e-08,1.08059134030609e-05,0.198907030684922,0.000878785511136872,1.50984267747925e-08,0.800203317537595
"MGH104",3.33529976752304e-08,0.00569438639272516,0.00163636483999468,0.00226738013324204,1.70329459284977e-07,0.00134190013127157,0.98905976482031
"MGH105",1.24614422185184e-07,1.21561373011922e-05,2.78868291988131e-06,0.190723153444376,1.63941814641828e-06,8.93940474790519e-08,0.809260048308787
"MGH106",5.1006045831533e-09,9.00586799514919e-10,1.10982975555489e-09,0.00762446862702664,0.102236890405988,0.236210619403601,0.653928014452362
"MGH110",1.00591887953351e-07,0.00411446735613649,9.5634310691805e-05,0.00164460631258502,0.0171585016735482,0.00859864827361059,0.96838804148154
"MGH113",2.50820574555945e-08,4.42298168599997e-09,1.92927775045502e-10,0.069321086315309,0.00388435542491568,9.4749554557294e-06,0.926785053606353
"MGH115",4.46334030415345e-09,0.0132760240023788,1.33709578467866e-06,0.0155393057318636,0.00178548607499658,6.14608197410905e-09,0.969397836485554
"MGH121",2.89017841824968e-09,9.19370359694736e-06,0.0103466447024368,0.00202460025730997,0.000397886642684626,2.50564653108421e-08,0.987221646747328
"MGH122",7.82365250033909e-07,3.70396679914037e-05,5.45397811531584e-09,0.109600627468002,1.8823203564834e-07,9.65928178696418e-10,0.890361355846815
"MGH124",1.11609109567506e-08,1.42638792255494e-09,2.69503075402008e-06,0.0531979842796714,2.02578771910678e-05,4.53087181928512e-09,0.946779045694213
"MGH125",4.44291372886004e-07,4.84313873011268e-09,2.86919370188335e-05,0.0455926681940022,0.00643541974688216,3.81043145132179e-07,0.94794238994444
"MGH128",0.00203712667989558,0.018166022821337,0.00277962111509463,0.00233093066968974,1.39102280272399e-08,0.00286583038709803,0.971820454416657
"MGH129",5.33356279316427e-10,0.0037935206435354,0.00493906468458297,0.00260122368456458,0.000239598567871067,0.00105753053237291,0.987369061353717
"MGH136",4.50896850646856e-08,0.00659036780987121,0.00163394364690552,0.000797148068985498,0.0011558834897768,0.000237042730588693,0.989585569164187
"MGH143",2.843173945108e-08,4.93339378551331e-09,0.0101545479483101,0.00202859953546704,1.01789860880858e-07,4.77842308107006e-09,0.987816712582806
"MGH151",1.15611456894235e-08,0.0100971111235247,0.0024468484152726,0.00152955084278572,0.000370251862905845,0.000100417542834453,0.985455808651531
"MGH152",4.31693483040145e-09,0.0231270862694352,2.34394487816331e-08,0.00246103405645807,1.78343319499216e-08,9.00843448381408e-06,0.974402825648907
"MGH66",2.15539425919872e-09,7.28145855000985e-09,0.0228302931855478,0.00185930619582116,0.000220589397588372,6.64239638491871e-09,0.975089795141794
