"","cellFractions.B.Cells","cellFractions.CD4.T","cellFractions.CD8.T","cellFractions.DC","cellFractions.Endothelial.Cells","cellFractions.Fibroblasts","cellFractions.Macrophages","cellFractions.Mast.Cells","cellFractions.Monocytes","cellFractions.NK","cellFractions.Neutrophils","cellFractions.otherCells"
"lymph_node_20",0.0632659141931037,0.000531689068532738,0.000369335148333015,1.15004271015521e-06,0.00410980307302283,0.00672728181833853,8.74034880567207e-09,3.62395031306879e-05,0.190099971386406,0.000232695370255276,0.00635348309693014,0.728272428558888
"lymph_node_25",0.263210044528371,0.0288193054689415,0.0881406986601176,0.00808513374791525,2.95308017875355e-06,0.238035042558715,2.393517926053e-06,0.0233116026452556,0.000138436920954867,0.00713403684165411,0.343015571946559,0.000104780083412045
"lymph_node_26",0.116916761298781,0.0086836276904933,1.53062376570566e-05,0.0109233025672669,0.000589081743325263,0.327982521555649,4.0109302550139e-09,1.69728866152145e-05,0.323516752093278,2.08404396891322e-05,0.21127344736401,6.13821123057272e-05
"lymph_node_28",0.171961218970975,0.000933318064438148,0.000477614940888431,0.058372444197796,0.0168766305731271,0.193377144242171,0.000139594628954205,0.018872473631697,0.00021129332207694,0.00807210442706977,0.530574385244749,0.000131777756057276
"lymph_node_5",0.121723932292843,0.000154998971172942,1.92180858227505e-05,2.58445104208424e-05,0.152739320564218,0.103077556739518,8.64086803155462e-10,0.0894782369780195,0.167874440389304,6.7300121097996e-05,0.3648340707048,5.07977869580139e-06
"primary_10",3.88582222771002e-05,0.00340701682404892,8.450879124377e-06,0.00218274629315703,0.000749739814817678,0.970394184520585,7.42385330094212e-05,0.0139155610848766,3.84297573545553e-06,0.00249422919845872,0.0067264315642953,4.70008961434009e-06
"primary_12",1.40137414482204e-05,0.275703592534068,0.636352900114872,6.57092731615939e-08,1.04615551217446e-05,7.19711111400568e-06,6.12332397602115e-06,8.33996604510141e-06,3.2027950831239e-06,0.0740523785153466,0.0138415672632976,1.57370354579545e-07
"primary_13",0.257861251133928,0.0971055850845917,0.0691099921325954,3.43169846215203e-07,0.00508747722270126,0.220145853432792,0.00131425900962817,0.349317281813211,4.16934606367431e-05,6.29304035913066e-08,1.60093150083307e-05,1.91294657830291e-07
"primary_16",4.17514601134903e-08,0.0205122823011894,0.401212871272706,1.49881613281017e-06,0.00333356334410234,0.271063111249532,0.000806996061833763,0.292887756905327,5.25395713190368e-08,0.0101102431720222,7.15469676618653e-05,3.56184615814847e-08
"primary_17",7.95838454147804e-08,0.00225081628139015,0.144117172071838,1.58891384257941e-06,0.000443618243849661,0.226877230617521,1.61362930372966e-08,0.034320243915467,0.000377395945819403,0.015148373343038,0.576462773159961,6.91787135215454e-07
"primary_18",0.068443302115458,0.160209835724142,0.10343768944827,1.25479623194199e-07,0.00705067614971723,0.0876529083940863,2.47924222431987e-05,0.117740417980704,1.02020476580703e-06,0.0752506982003843,0.380187347987745,1.18589286110513e-06
"primary_20",0.0405904604973208,0.000877199922442914,0.000482788053713008,2.06824728770647e-05,0.0117534204240249,0.0672092950940336,1.95189817570469e-08,3.33765407616824e-05,0.185699328006191,0.000322529441591335,0.221109498337084,0.471901401690978
"primary_22",3.47553957429297e-05,6.56405243703259e-05,6.87274902588499e-05,5.55179838091303e-05,5.52054203377328e-05,0.238733700076148,0.00179505997702419,0.728845527750208,1.71890511108606e-05,0.000669481447889492,0.0296417247156508,1.7470167449368e-05
"primary_23",4.07435921499242e-06,0.249303608813871,0.395816572542286,8.9937182147149e-06,1.67443276128818e-05,7.13407766736926e-06,8.45585071217429e-07,7.04049237684307e-06,8.5709244109442e-07,0.354822159517778,1.04452396105072e-05,1.52423385495977e-06
