"","cellFractions.B.Cells","cellFractions.CD4.T","cellFractions.CD8.T","cellFractions.DC","cellFractions.Endothelial.Cells","cellFractions.Fibroblasts","cellFractions.Macrophages","cellFractions.Mast.Cells","cellFractions.Monocytes","cellFractions.NK","cellFractions.Neutrophils","cellFractions.otherCells"
"BT1160",0.0230181684642694,8.54881502205148e-08,3.99483800136328e-05,2.01796939841917e-05,0.00152271588194867,0.00107031388229986,2.1179164557257e-08,0.000159514410763929,0.0987356424430633,0.00109979558385562,0.0235607519201954,0.850772862672291
"BT1187",4.41440881240933e-05,0.00367639359956629,0.0666167681574487,0.318888428351584,2.25030334113986e-06,0.0015078260235524,0.183700617451615,0.122232753790062,0.0732828985054814,0.00126017804321556,0.228746406920448,4.13347655618593e-05
"BT749",0.0403228405836574,0.000298863996090634,9.36120952670298e-06,9.38966827393579e-07,8.49875390318687e-05,0.00201381567717858,2.74117511426538e-09,7.36177659323719e-05,0.0654153662274931,0.00102430451332708,0.00103846439586197,0.889717436383898
"BT771",0.0531742185826578,2.15927194152609e-06,8.46931183856375e-05,0.0242532986529133,0.00031180985093609,0.00573929553480828,1.0064688095796e-06,7.07473499024583e-08,0.132851689684814,0.0006164094710169,0.489351091226275,0.293614257390093
"BT786",0.033177729324117,0.00013423197941209,9.55031958619096e-07,5.67849574100401e-07,3.03836140804841e-05,0.00153732103306255,1.97886220748021e-09,1.59890658196524e-05,0.0616598531948265,0.000243418425216619,0.231298583984604,0.671900964518467
"BT830",0.0542826665303647,4.86819371729539e-07,1.15122991103978e-06,0.000131213975707276,0.00234633657163138,0.105454389226898,7.15767627118873e-06,0.000998858725090101,0.142364144166278,0.000692469098170418,0.0184022418230977,0.675318884157209
"BT85",0.0586463475180007,0.000180997721707998,0.000488576314422791,1.03075950301601e-05,4.40661701131769e-05,0.00039460236647483,1.06171122262408e-08,6.69245458517299e-05,0.0681868181656104,0.000759902146882675,0.000575595380030982,0.870645851458762
"BT920",0.0467107056818358,1.07727540816714e-06,0.000213012604671679,0.158316250390156,3.72079967928942e-05,0.0243740150679774,0.0015658673154954,2.71172164945497e-05,0.115954947456566,0.000382955935535332,0.551925970478911,0.100490872580156
"MGH100",0.0271027488372013,0.00230875234093119,4.54113952688729e-05,1.84281897909841e-06,0.000576053779139863,0.00545830172744772,4.73125845714193e-09,0.000758421570967247,0.0998416722395359,0.00153477869006901,0.0101031079434827,0.852268903925719
"MGH101",4.06662387223872e-09,1.58543369759128e-07,8.58447304170776e-08,1.98211426375142e-07,2.62997011322714e-08,4.7660362571744e-08,0.00751409753334419,9.94536668645077e-08,0.02746436126248,1.97687205129169e-07,0.96502071283553,1.06015595829287e-08
"MGH102",8.74942062598737e-09,1.62064242882638e-05,2.51990103796624e-06,0.150997658408115,3.43145785766988e-05,0.00142151792768433,0.0534684694899449,4.06968327416521e-05,0.0716787469672981,0.000509063054899924,0.721830738775659,5.8890333506132e-08
"MGH104",0.0497581349020175,3.49291529216107e-05,4.83892072685712e-08,3.95035014823497e-06,0.000160123000608192,0.000323366783258401,1.0331096135955e-05,1.48556712933064e-05,0.119290053070384,0.000491071798934808,0.0132004890263684,0.816712646758722
"MGH105",2.70447581694313e-06,2.80286687568926e-05,0.00513036879640151,0.00528900633611574,2.22399148312479e-06,0.00110836210257718,0.0398267018263264,6.47272975143274e-05,0.0754138457523934,0.000457525684896981,0.872676458942995,4.612472264681e-08
