,Plasma B cells,Non-plasma B cells,CD4 T,CD8 T effector,CD8 T (GZMK high),Double-neg-like T,DC,Endothelial Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Monocytes,1-others,Cancer Cells
lymph_node_20,0.000,0.000,0.002,0.000,0.000,0.000,0.000,0.002,0.000,0.002,0.001,0.001,0.000,0.000,0.000,0.993,0.993
lymph_node_25,0.103,0.012,0.020,0.001,0.014,0.267,0.008,0.003,0.030,0.292,0.000,0.013,0.000,0.000,0.000,0.236,0.236
lymph_node_26,0.000,0.008,0.012,0.000,0.000,0.000,0.022,0.002,0.056,0.201,0.000,0.000,0.000,0.000,0.000,0.698,0.698
lymph_node_28,0.140,0.005,0.002,0.000,0.000,0.000,0.000,0.020,0.088,0.352,0.000,0.012,0.000,0.000,0.000,0.380,0.380
lymph_node_5,0.026,0.001,0.005,0.000,0.000,0.000,0.011,0.398,0.040,0.185,0.000,0.018,0.000,0.003,0.000,0.312,0.312
primary_10,0.543,0.031,0.000,0.000,0.000,0.000,0.000,0.048,0.142,0.009,0.000,0.018,0.000,0.000,0.001,0.207,0.207
primary_12,0.000,0.000,0.285,0.495,0.192,0.000,0.001,0.001,0.000,0.001,0.000,0.000,0.000,0.002,0.000,0.022,0.022
primary_13,0.082,0.077,0.172,0.014,0.007,0.001,0.190,0.037,0.060,0.107,0.000,0.068,0.000,0.021,0.000,0.163,0.163
primary_16,0.001,0.001,0.289,0.031,0.168,0.000,0.025,0.082,0.091,0.129,0.001,0.061,0.002,0.007,0.000,0.110,0.110
primary_17,0.001,0.000,0.086,0.190,0.147,0.000,0.001,0.019,0.069,0.012,0.000,0.019,0.000,0.003,0.001,0.452,0.452
primary_18,0.028,0.001,0.169,0.124,0.177,0.001,0.002,0.072,0.054,0.058,0.001,0.035,0.001,0.013,0.002,0.260,0.260
primary_20,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.008,0.003,0.027,0.000,0.002,0.000,0.000,0.000,0.958,0.958
primary_22,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.009,0.040,0.276,0.000,0.161,0.000,0.000,0.000,0.512,0.512
primary_23,0.000,0.001,0.455,0.541,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000
primary_24,0.000,0.001,0.009,0.000,0.000,0.000,0.000,0.010,0.391,0.246,0.008,0.194,0.000,0.005,0.000,0.138,0.138
primary_25,0.000,0.003,0.064,0.049,0.142,0.000,0.010,0.009,0.122,0.200,0.000,0.034,0.000,0.001,0.000,0.366,0.366
primary_26,0.000,0.000,0.013,0.000,0.000,0.000,0.008,0.001,0.153,0.264,0.000,0.014,0.000,0.001,0.000,0.545,0.545
primary_28,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.061,0.259,0.488,0.001,0.000,0.000,0.001,0.000,0.187,0.187
primary_5,0.000,0.000,0.075,0.082,0.000,0.000,0.150,0.077,0.155,0.025,0.147,0.029,0.009,0.011,0.001,0.237,0.237
primary_6,0.021,0.000,0.000,0.000,0.000,0.000,0.002,0.201,0.269,0.049,0.002,0.007,0.000,0.000,0.000,0.448,0.448
primary_7,0.000,0.003,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.041,0.000,0.001,0.000,0.007,0.000,0.948,0.948
primary_8,0.014,0.105,0.003,0.002,0.000,0.204,0.018,0.246,0.178,0.007,0.002,0.028,0.000,0.002,0.004,0.186,0.186
