	0
0	A2M
1	A4GALT
2	AAMDC
3	AASS
4	AATK
5	ABAT
6	ABCA2
7	ABCA6
8	ABCA7
9	ABCB1
10	ABCB4
11	ABCB8
12	ABCB9
13	ABCC1
14	ABCC3
15	ABCC4
16	ABCC5
17	ABCD1
18	ABCD2
19	ABCD3
20	ABCD4
21	ABCE1
22	ABCF1
23	ABCG1
24	ABCG2
25	ABHD11
26	ABHD12
27	ABHD14B
28	ABHD15
29	ABHD2
30	ABHD5
31	ABHD6
32	ABHD8
33	ABI2
34	ABI3
35	ABLIM1
36	ABLIM2
37	ABLIM3
38	ABR
39	ABRACL
40	ABT1
41	ABTB1
42	ABTB2
43	ACAA2
44	ACACA
45	ACACB
46	ACADS
47	ACAT1
48	ACAT2
49	ACBD3
50	ACD
51	ACE
52	ACER3
53	ACIN1
54	ACO1
55	ACO2
56	ACOT11
57	ACOT13
58	ACOT2
59	ACOT4
60	ACOT7
61	ACOT8
62	ACOX1
63	ACP5
64	ACSF2
65	ACSF3
66	ACSL1
67	ACSL3
68	ACSL4
69	ACSL6
70	ACSM3
71	ACSM5
72	ACSS1
73	ACTA2
74	ACTB
75	ACTG2
76	ACTN4
77	ACTR10
78	ACTR2
79	ACVR2A
80	ACY3
81	ADA
82	ADAM10
83	ADAM12
84	ADAM15
85	ADAM17
86	ADAM19
87	ADAM22
88	ADAM23
89	ADAM28
90	ADAM8
91	ADAM9
92	ADAMDEC1
93	ADAMTS1
94	ADAMTS10
95	ADAMTS14
96	ADAMTS7
97	ADAMTSL4
98	ADAP1
99	ADAP2
100	ADAR
101	ADARB1
102	ADARB2
103	ADAT2
104	ADAT3
105	ADCY3
106	ADCY4
107	ADCY9
108	ADD1
109	ADD3
110	ADH5
111	ADHFE1
112	ADI1
113	ADK
114	ADM
115	ADM2
116	ADM5
117	ADORA2B
118	ADORA3
119	ADPGK
120	ADPRH
121	ADPRM
122	ADRB2
123	ADRM1
124	ADSL
125	ADSSL1
126	ADTRP
127	AEBP1
128	AEN
129	AES
130	AFAP1
131	AFAP1L2
132	AFF1
133	AFF2
134	AFF3
135	AFF4
136	AFG3L2
137	AFMID
138	AFTPH
139	AGA
140	AGAP1
141	AGAP3
142	AGBL3
143	AGER
144	AGFG1
145	AGFG2
146	AGK
147	AGMAT
148	AGO1
149	AGO4
150	AGPAT2
151	AGPAT3
152	AGPAT4
153	AGPAT5
154	AGPS
155	AGR2
156	AGRN
157	AGTPBP1
158	AGTRAP
159	AHCTF1
160	AHDC1
161	AHNAK
162	AHNAK2
163	AHR
164	AHSA1
165	AHSA2
166	AIF1
167	AIFM2
168	AIFM3
169	AIG1
170	AIM2
171	AIP
172	AJUBA
173	AK4
174	AK5
175	AKAP10
176	AKAP12
177	AKAP5
178	AKAP6
179	AKAP7
180	AKIP1
181	AKIRIN1
182	AKIRIN2
183	AKNA
184	AKR1A1
185	AKR1B1
186	AKR1B10
187	AKR1C1
188	AKR1C2
189	AKR1C3
190	AKT1S1
191	AKT3
192	AKTIP
193	ALCAM
194	ALDH1A1
195	ALDH1L2
196	ALDH2
197	ALDH3A1
198	ALDH3A2
199	ALDH3B1
200	ALDH6A1
201	ALDH7A1
202	ALDOA
203	ALDOC
204	ALG2
205	ALG3
206	ALG5
207	ALG9
208	ALKBH4
209	ALKBH7
210	ALOX5
211	ALPK1
212	ALPK2
213	ALPK3
214	ALS2
215	AMDHD2
216	AMIGO2
217	AMN
218	AMOTL1
219	AMPD1
220	AMPD2
221	AMPD3
222	AMPH
223	AMZ1
224	AMZ2
225	ANAPC4
226	ANG
227	ANGPT2
228	ANGPTL4
229	ANK1
230	ANK3
231	ANKFY1
232	ANKH
233	ANKRD10
234	ANKRD13A
235	ANKRD13D
236	ANKRD22
237	ANKRD27
238	ANKRD29
239	ANKRD35
240	ANKRD37
241	ANKRD40
242	ANKRD42
243	ANKRD49
244	ANKRD50
245	ANKRD53
246	ANKRD55
247	ANKRD9
248	ANKS1B
249	ANKS3
250	ANKS6
251	ANKZF1
252	ANLN
253	ANO6
254	ANO9
255	ANP32A
256	ANP32B
257	ANP32E
258	ANPEP
259	ANTXR1
260	ANTXR2
261	ANXA1
262	ANXA11
263	ANXA3
264	ANXA4
265	ANXA5
266	ANXA6
267	AOAH
268	AP1AR
269	AP1G1
270	AP1M1
271	AP1M2
272	AP1S1
273	AP1S3
274	AP2A1
275	AP2A2
276	AP2M1
277	AP2S1
278	AP3M2
279	AP4S1
280	AP5B1
281	AP5M1
282	AP5Z1
283	APAF1
284	APBA2
285	APBB1
286	APBB2
287	APC
288	APH1B
289	APLP2
