,Non-plasma B cells,Plasma B cells,CD4 T,CD8 T (GZMK high),CD8 T effector,DC,Endothelial Cells,Cancer Cells,CAFs,Myofibroblasts,Macrophages,Mast Cells,NK,Neutrophils,Double-neg-like T,Monocytes
s_segment_0_1003,0.0685,0,0.0001,0,0,0,0,0.2389,0,0.6171,0.0653,0.0006,0,0.0001,0,0.0094
s_segment_0_1004,0,0,0.0001,0.0008,0.0072,0,0,0.0001,0.4415,0.3063,0.2353,0.0001,0.0084,0.0001,0,0.0001
s_segment_0_1024,0.3631,0,0,0,0,0.0885,0.0001,0.4816,0,0.0195,0.0441,0,0,0.0001,0.0028,0.0002
s_segment_0_1027,0.0001,0.0001,0.1488,0.0121,0,0.0001,0.0026,0.5552,0.0001,0.047,0.0002,0.0002,0.0002,0.0186,0.1797,0.035
s_segment_0_1042,0.3223,0.0006,0.084,0.0075,0.0001,0.0008,0.002,0.4268,0.0441,0,0.0208,0.0001,0.0587,0.0199,0.0122,0.0001
s_segment_0_1044,0.0191,0.0038,0.0107,0.0103,0.0001,0,0.002,0.7022,0,0,0,0,0,0,0.2518,0
s_segment_0_105,0.0001,0.002,0.1264,0.0269,0.0028,0.0534,0,0.327,0.3543,0,0.0954,0,0,0,0.0001,0.0116
s_segment_0_1058,0,0.0001,0.0001,0,0,0,0.0082,0.0003,0.6187,0.0063,0.3624,0.0033,0,0,0,0.0006
s_segment_0_1061,0,0.0172,0,0,0,0.0018,0,0.2637,0,0.3789,0.0001,0.3358,0.0004,0.0002,0.0018,0.0001
s_segment_0_1063,0.0047,0.0041,0.0003,0.0006,0.0002,0.0174,0.0001,0.7948,0.0215,0,0.1036,0.0015,0.0002,0.0482,0.0001,0.0027
s_segment_0_1083,0,0.0014,0.0001,0.0019,0.0005,0.0001,0,0.9556,0.0015,0.0073,0.004,0.0001,0.0198,0.0068,0.0008,0.0001
s_segment_0_1086,0.0028,0,0,0.0001,0,0,0,0.0002,0.5492,0.1065,0.1387,0.0193,0.0001,0.0002,0.1829,0
s_segment_0_1089,0.0006,0.0072,0,0,0.0001,0,0.003,0.4162,0.0001,0,0.0537,0,0.0008,0,0.2832,0.2351
s_segment_0_1093,0.0802,0,0.0446,0.2601,0.0001,0,0,0.4467,0.1458,0.0006,0.0007,0,0,0,0,0.0212
s_segment_0_1100,0.0419,0,0.0007,0.0154,0.0011,0.1063,0.0145,0.4218,0.3943,0.0001,0.0017,0,0.0001,0.0017,0,0.0004
s_segment_0_111,0,0.1268,0.014,0.0014,0,0,0.0001,0.1727,0.0002,0.1354,0.5442,0.0019,0,0.003,0.0003,0
