,PC1,PC2
s_segment_0_1078,-29.7323141505856,-25.381737094887825
s_segment_0_1090,-49.56744062527129,-0.438771379652903
s_segment_0_1098,-36.85821537890687,-9.774366299611454
s_segment_0_1109,-28.160887405309456,-20.59516795259507
s_segment_0_1143,-25.621762206664094,-26.73380848658991
s_segment_0_119,-23.3774158066743,-31.334698174521854
s_segment_0_1200,-39.00408597367143,0.33852738656948095
s_segment_0_1202,-44.04812882132459,-4.552033790524718
s_segment_0_1238,-30.69779519510767,-19.219631777906436
s_segment_0_1257,-41.61952992871098,-17.964904506542418
s_segment_0_127,-44.943097899027734,45.64201693010689
s_segment_0_1281,-36.542004407508315,-1.3425846361691502
s_segment_0_1310,-33.87959032080849,11.861067481030839
s_segment_0_1350,-15.911774414441618,-33.431781151427714
s_segment_0_1353,-45.641008316491515,-15.932019167656193
s_segment_0_1409,-28.118085756329478,3.607971252337115
s_segment_0_1432,-40.196853390701015,-10.236551238336064
s_segment_0_1464,-28.561301510289855,4.171952181032811
s_segment_0_1471,-39.70052777430785,-15.30245860971255
s_segment_0_1473,-24.07743421435216,-19.855871189653627
s_segment_0_1481,-46.189638206410415,38.14952383562713
s_segment_0_1490,-35.29573382747449,-10.012207528812057
s_segment_0_151,-25.052336337300236,18.237475531721643
s_segment_0_1523,-22.277379905258655,19.29249102067476
s_segment_0_1542,-31.578296897118545,-18.64520022687306
s_segment_0_1555,-25.18470086439132,-11.140707518536413
s_segment_0_1562,-33.37369936057963,-5.911397198678816
s_segment_0_1591,-27.307012659165256,-32.800300504058455
s_segment_0_1613,-18.565583134330513,-26.343186323000644
s_segment_0_1625,-36.63241437811568,-12.674430741769468
s_segment_0_163,-23.64966662832423,-12.34391663273824
s_segment_0_1669,-15.30022307229208,-16.793265882895472
s_segment_0_1706,-47.77811000079193,16.044456195562383
s_segment_0_175,-25.691819167654174,-22.709757990412143
s_segment_0_1801,-45.157463052496595,6.80028911988192
s_segment_0_1808,-38.367163779118826,-8.676254526396383
s_segment_0_1812,-8.385276857043579,-15.940546423478153
s_segment_0_1818,-26.717918546622666,-22.343953117563036
s_segment_0_1832,-33.95266154168988,-0.8443255452660956
s_segment_0_1841,-35.013797903252765,-6.47396464256146
s_segment_0_1853,-36.04725994632295,5.411417072899707
s_segment_0_1907,-33.449294741805566,-25.456191646643774
s_segment_0_1937,-51.0871271911722,26.20957192200655
s_segment_0_1939,-41.93686134260944,18.817174526277586
s_segment_0_1949,-35.037960276716966,42.19782852143324
s_segment_0_1954,-22.844501057633018,-34.714757827971816
s_segment_0_1970,-32.342153960685756,-17.41403888097535
s_segment_0_1989,-40.903808208908,-7.947589106187818
s_segment_0_2,-29.73732650696791,-21.25244840618918
s_segment_0_206,-40.60099183784269,13.583696135408887
s_segment_0_2065,-43.41449194687621,-9.815573905709332
s_segment_0_2140,-42.21547792021882,25.520942560734024
s_segment_0_2143,-34.27005005038782,-23.076597272389122
s_segment_0_2149,-34.32996069091832,-30.37127333993193
s_segment_0_2151,-22.736870146936738,8.932556850708755
s_segment_0_2182,-38.24832318757842,-22.718492746410526
s_segment_0_2187,-28.551791792628855,-24.42485149409078
s_segment_0_220,-30.05717764041151,1.720902146115073
s_segment_0_2270,-44.414477856582636,10.746628827187433
s_segment_0_2285,-32.80411518669772,13.400135360621935
s_segment_0_2292,-34.30895555680128,-1.3313432639631886
s_segment_0_2316,-16.575827146117106,3.4334371272782325
s_segment_0_2326,-32.05815573835054,-9.381369615321228
