,B Cells,CD4 T,CD8 T,Cancer Cells,DC,Endothelial Cells,Fibroblasts,Macrophages,Mast Cells,NK,Neutrophils
s_segment_0_1078,0,0,0.0443,0.7901,0,0.0001,0,0.1653,0.0001,0.0001,0
s_segment_0_1090,0.0001,0.0435,0.0001,0.2685,0,0.0267,0,0.1638,0.0736,0.4236,0.0001
s_segment_0_1098,0.0016,0,0.0001,0.4946,0.05,0,0.0089,0.4369,0.0078,0,0.0001
s_segment_0_1109,0.0015,0,0,0.773,0.0126,0,0.0088,0.1956,0.0001,0.0082,0.0002
s_segment_0_1143,0.0013,0.0051,0.0327,0.8223,0.0017,0,0.0701,0.0158,0.0001,0.0444,0.0065
s_segment_0_119,0,0.0042,0.0001,0.9068,0.0001,0.0002,0.0001,0.0002,0.0001,0.0007,0.0875
s_segment_0_1200,0.0004,0.0435,0.0035,0.302,0.0118,0.0021,0.0185,0.6167,0.0001,0.0008,0.0006
s_segment_0_1202,0.0001,0.0011,0.0166,0.5769,0.0001,0.0103,0.0471,0.1935,0.0499,0.0003,0.1041
s_segment_0_1238,0.0389,0.0648,0.0004,0.6963,0.0083,0.0069,0.1294,0.0008,0.0021,0.0449,0.0072
s_segment_0_1257,0.0028,0.1921,0,0.5271,0.0001,0.0001,0,0.1733,0.0001,0.1041,0.0003
s_segment_0_127,0.0093,0.1396,0.045,0.0197,0.0184,0.1769,0.332,0.1615,0.0051,0.0809,0.0116
s_segment_0_1281,0,0.0001,0.0001,0.4821,0.1109,0.2593,0.0009,0.0477,0.0581,0.0407,0.0001
s_segment_0_1310,0.0054,0.0247,0.0006,0.3986,0.0026,0.0595,0.343,0.1528,0.0075,0.0005,0.0048
s_segment_0_1350,0.0001,0.0001,0.0006,0.8832,0.0007,0,0.0142,0.0952,0.0032,0,0.0027
s_segment_0_1353,0.0004,0.1033,0.0702,0.4752,0,0.0182,0,0.0397,0.0584,0.2176,0.017
s_segment_0_1409,0.0044,0.0001,0.002,0.3891,0,0,0.3785,0.0001,0.0002,0.2255,0.0001
s_segment_0_1432,0.0193,0.0001,0.0339,0.6111,0.0008,0.1116,0.0037,0.0501,0.1349,0.0005,0.034
s_segment_0_1464,0.0038,0.0026,0.0054,0.431,0.002,0.0076,0.4496,0.0024,0.0006,0.0839,0.0111
s_segment_0_1471,0.0004,0.0438,0.0469,0.6084,0.0002,0.1064,0.001,0,0.0007,0.1459,0.0463
s_segment_0_1473,0.0892,0.0001,0.0001,0.7016,0,0.1564,0,0,0.0524,0.0001,0.0001
s_segment_0_1481,0,0.076,0.0029,0.0201,0.0697,0.0001,0.1799,0.5782,0.0032,0.0633,0.0066
s_segment_0_1490,0.0009,0.0001,0.0016,0.5082,0,0.0011,0.0077,0.4671,0.0053,0.0078,0.0002
s_segment_0_151,0.0001,0,0.0042,0.2442,0,0.3839,0.3081,0.0004,0,0.059,0.0001
s_segment_0_1523,0.001,0.0058,0.0041,0.2536,0.003,0.0849,0.6072,0.0027,0.0073,0.028,0.0024
s_segment_0_1542,0,0.0082,0,0.6491,0.0546,0,0.0001,0.287,0.0001,0,0.0009
s_segment_0_1555,0.0002,0.0041,0.0246,0.6311,0.0506,0.255,0.0326,0.0008,0.0004,0.0005,0.0001
s_segment_0_1562,0.0118,0.0126,0,0.6195,0.0006,0.0027,0.213,0.022,0.0022,0.0671,0.0485
s_segment_0_1591,0.0004,0.0009,0.0073,0.8381,0.0015,0.0018,0.0004,0.0286,0.0144,0.098,0.0086
s_segment_0_1613,0.0001,0.0022,0.0068,0.8189,0.0039,0.1254,0.004,0.0375,0.0007,0.0004,0.0001
s_segment_0_1625,0.0009,0.0928,0.0001,0.6719,0.0087,0.0593,0,0.1296,0.0077,0,0.029
s_segment_0_163,0,0,0,0.7292,0.0174,0.1935,0.0002,0.0396,0.0111,0.0001,0.0089
s_segment_0_1669,0,0,0.0003,0.7174,0.0004,0,0.2211,0.0002,0.0602,0.0003,0.0001
s_segment_0_1706,0.046,0.0016,0.0974,0.2746,0.0289,0.2755,0.0065,0.166,0.0958,0.005,0.0027
s_segment_0_175,0,0.0001,0.0006,0.7219,0,0,0,0.2774,0,0,0
s_segment_0_1801,0.0145,0.0037,0.0617,0.4027,0.0087,0.0293,0.233,0.0037,0.1394,0.0238,0.0795
s_segment_0_1808,0.1089,0.0009,0.0006,0.5385,0,0.0112,0.0068,0.3109,0.0005,0.0204,0.0013
s_segment_0_1812,0.0005,0,0.0001,0.6426,0.0043,0,0.3521,0,0.0004,0,0
s_segment_0_1818,0,0.0007,0.0444,0.7367,0,0.0743,0.0001,0.0001,0.1396,0.0009,0.0032
s_segment_0_1832,0.0001,0.0002,0.0027,0.5383,0.0173,0.0001,0.1513,0.2808,0.0003,0.0059,0.003
s_segment_0_1841,0,0.0003,0.0001,0.3389,0,0.0006,0.0002,0.6376,0.0213,0.0009,0.0001
s_segment_0_1853,0.0083,0.0044,0.013,0.414,0.0189,0.4464,0.0052,0.0044,0.002,0.0467,0.0367
s_segment_0_1907,0.0002,0.0008,0.0371,0.7498,0.0028,0,0.0395,0.0129,0.0058,0.1186,0.0325
s_segment_0_1937,0.0349,0.1082,0,0.1221,0.0002,0.211,0.0195,0.4215,0.0493,0.0004,0.0329
s_segment_0_1939,0.0001,0.0083,0.0206,0.1876,0.0142,0.0031,0.144,0.598,0.0185,0.0049,0.0007
s_segment_0_1949,0.0007,0.0012,0.0277,0.0406,0.0112,0.0657,0.5617,0.2742,0.0057,0.0105,0.0008
s_segment_0_1954,0.0374,0.0005,0.0581,0.7988,0.0003,0.0004,0.0461,0,0.0001,0.0581,0.0002
s_segment_0_1970,0.0007,0,0,0.7158,0.0001,0.0023,0.0093,0.2399,0.0013,0.0017,0.0289
s_segment_0_1989,0.0268,0,0.0001,0.5824,0.0521,0.0435,0.0427,0.0854,0.0007,0,0.1663
s_segment_0_2,0.0001,0.0008,0.0002,0.8135,0.0001,0.0644,0.0006,0.0708,0.0022,0.0458,0.0015
s_segment_0_206,0.0061,0.0023,0.0267,0.3788,0.1145,0.0706,0.284,0.021,0.0039,0.0149,0.0772
s_segment_0_2065,0.0055,0.0015,0.0098,0.4491,0.0074,0.0073,0.0024,0.1733,0.3164,0.0237,0.0036
s_segment_0_2140,0,0.0095,0.0092,0.142,0.023,0.284,0.0069,0.517,0.0075,0.0001,0.0008
s_segment_0_2143,0.0303,0.0785,0.0093,0.7586,0.0051,0.05,0.0001,0.035,0.0001,0.0004,0.0326
s_segment_0_2149,0,0.0335,0.0579,0.6604,0.001,0,0,0.031,0.0014,0.2147,0.0001
s_segment_0_2151,0.0004,0.0384,0.0003,0.3776,0.0002,0.5026,0.0773,0.003,0,0,0.0002
s_segment_0_2182,0.0037,0.0114,0.1223,0.6906,0.0011,0.0011,0.0026,0.1202,0.0335,0.0017,0.0118
s_segment_0_2187,0.0002,0.0023,0.0015,0.819,0.0001,0.0104,0.0124,0.1079,0.0002,0.0397,0.0063
s_segment_0_220,0.0001,0.0065,0.0158,0.4451,0.1398,0.3435,0.0442,0.0001,0.0033,0.0004,0.0012
s_segment_0_2270,0.0126,0.0011,0.0001,0.3862,0.0236,0.0037,0.2084,0.2576,0.0232,0.0573,0.0262
s_segment_0_2285,0.0001,0.2783,0,0.2609,0.0002,0.1857,0.2665,0.0056,0,0.0015,0.0012
